valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,segmento_de_listagem,free_float,tag_along,setor,segmento,papel,liquidez_média_diária
13.157.418.000,16.488.745.000,5.722.890.000,597.250.000,19.095.990.000,4.232.675.000,6.289.577.000,3.331.327.000,2.958.250.000,Tradicional,52.44,0.00,Consumo Cíclico,Atividades Esportivas,SMFT3,118.009.000
51.594.631.000,98.793.422.000,28.549.056.000,1.259.019.000,126.167.097.000,32.667.372.000,62.395.067.000,47.198.791.000,15.196.276.000,Novo Mercado,100.00,100.00,Utilidade Pública,Energia Elétrica,EQTL3,241.594.000
461.948.000,394.746.000,544.430.000,113.222.000,667.687.000,164.064.000,99.000,-67.202.000,67.301.000,Novo Mercado,75.33,100.00,Tecnologia da Informação,Programas e Serviços,CASH3,7.828.000
16.097.945.000,20.525.709.000,6.019.582.000,513.163.000,12.802.394.000,2.208.919.000,5.489.680.000,4.427.764.000,1.061.916.000,Nível 2,52.93,100.00,Financeiro,Exploração de Imóveis,MULT3,117.421.000
9.071.034.000,8.539.009.000,9.123.786.000,393.096.000,9.217.327.000,532.286.000,,-532.025.000,532.025.000,Nível 1,71.57,80.00,Financeiro,Holdings Diversificadas,BRAP4,63.075.000
7.462.758.000,44.774.758.000,-3.533.000.000,797.207.000,87.383.000.000,26.273.000.000,44.720.000.000,37.312.000.000,7.408.000.000,Nível 1,34.97,100.00,Materiais Básicos,Petroquímicos,BRKM5,32.553.000
74.380.000.000,67.124.443.000,12.869.841.000,2.000.000.000,20.441.629.000,8.665.648.000,,-7.255.557.000,7.255.557.000,Novo Mercado,31.87,100.00,Financeiro,Seguradoras,BBSE3,213.556.000
58.152.580.000,54.478.936.000,25.213.227.000,2.392.125.000,57.371.375.000,14.085.946.000,2.854.983.000,-3.673.644.000,6.528.627.000,Novo Mercado,33.40,100.00,Telecomunicações,Telecomunicações,TIMS3,176.447.000
3.653.604.000,7.910.234.000,3.134.368.000,274.088.000,9.712.518.000,2.417.178.000,5.312.600.000,4.256.630.000,1.055.970.000,Novo Mercado,93.61,100.00,Consumo Cíclico,Serviços Educacionais,YDUQ3,41.348.000
160.025.157.000,202.605.387.000,109.289.887.000,2.588.720.000,266.502.447.000,52.374.181.000,70.835.953.000,42.580.230.000,28.255.723.000,Nível 1,97.21,80.00,Utilidade Pública,Energia Elétrica,ELET3,0
2.943.914.000,2.864.242.000,1.716.262.000,860.793.000,3.944.594.000,1.533.165.000,434.727.000,-79.672.000,514.399.000,Novo Mercado,66.53,100.00,Consumo não Cíclico,Produtos Diversos,PETZ3,29.981.000
32.802.326.000,28.435.743.000,10.097.436.000,5.485.338.000,36.313.111.000,16.750.738.000,9.235.604.000,-4.366.583.000,13.602.187.000,Nível 1,20.25,100.00,Materiais Básicos,Minerais Metálicos,CMIN3,35.963.000
51.360.000.000,50.266.511.000,13.505.669.000,3.000.000.000,14.624.520.000,1.932.384.000,10.707.000,-1.093.489.000,1.104.196.000,Novo Mercado,17.25,100.00,Financeiro,Seguradoras,CXSE3,61.969.000
43.640.016.000,59.168.134.000,19.852.577.000,1.936.973.000,54.448.940.000,9.169.745.000,19.465.459.000,15.528.118.000,3.937.341.000,Novo Mercado,99.68,100.00,Utilidade Pública,Energia Elétrica,ENEV3,281.656.000
471.526.461.000,785.608.461.000,422.934.000.000,12.888.732.000,1.212.038.000.000,149.361.000.000,376.083.000.000,314.082.000.000,62.001.000.000,Nível 2,60.70,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,PETR3,457.907.000
6.845.832.000,10.697.816.000,48.650.310.000,502.630.000,74.469.343.000,12.323.388.000,13.364.160.000,3.851.984.000,9.512.176.000,Novo Mercado,58.28,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,HAPV3,108.613.000
101.850.627.000,101.541.727.000,26.332.327.000,2.289.292.000,110.033.257.000,58.054.564.000,42.879.071.000,-308.900.000,43.187.971.000,Nível 1,50.01,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,RDOR3,204.214.000
7.863.847.000,10.010.122.000,4.640.861.000,1.206.361.000,9.427.002.000,2.345.550.000,3.984.653.000,2.146.275.000,1.838.378.000,Tradicional,55.74,100.00,Financeiro,Exploração de Imóveis,IGTI11,57.524.000
9.285.831.000,12.279.052.000,5.395.011.000,547.191.000,13.584.226.000,4.864.095.000,5.505.859.000,2.993.221.000,2.512.638.000,Novo Mercado,84.87,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,FLRY3,47.813.000
6.495.683.000,10.032.532.000,6.287.795.000,683.756.000,15.658.342.000,5.310.579.000,5.730.860.000,3.536.849.000,2.194.011.000,Novo Mercado,43.12,100.00,Consumo Cíclico,Incorporações,JHSF3,34.659.000
14.898.842.000,11.989.615.000,13.419.243.000,504.190.000,26.343.579.000,3.792.999.000,,-2.909.227.000,2.909.227.000,Novo Mercado,92.76,100.00,Financeiro,Exploração de Imóveis,ALOS3,133.576.000
150.735.000,208.617.000,159.350.000,592.755.000,1.046.494.000,214.002.000,65.073.000,57.882.000,7.191.000,Tradicional,59.67,0.00,Bens Industriais,Construção Pesada,AZEV4,3.298.000
1.978.957.000,5.813.985.000,2.354.428.000,403.868.000,10.090.277.000,2.547.889.000,5.511.491.000,3.835.028.000,1.676.463.000,Novo Mercado,63.64,100.00,Consumo Cíclico,Serviços Educacionais,ANIM3,38.424.000
97.894.945.000,121.171.516.000,42.710.275.000,703.773.000,95.987.457.000,17.040.851.000,34.926.444.000,23.276.571.000,11.649.873.000,Novo Mercado,49.74,100.00,Utilidade Pública,Água e Saneamento,SBSP3,440.779.000
39.169.237.000,86.171.237.000,36.192.000.000,1.213.797.000,113.489.000.000,21.511.000.000,53.313.000.000,47.002.000.000,6.311.000.000,Novo Mercado,16.07,0.10,Utilidade Pública,Energia Elétrica,NEOE3,62.103.000
5.330.398.000,10.430.010.000,6.744.052.000,919.034.000,18.023.149.000,5.341.161.000,6.606.268.000,5.099.612.000,1.506.656.000,Novo Mercado,36.77,100.00,Materiais Básicos,Madeira,DXCO3,14.413.000
5.343.008.000,50.188.377.000,3.151.220.000,873.040.000,84.174.712.000,28.585.482.000,57.435.801.000,44.845.369.000,12.590.432.000,Novo Mercado,26.00,100.00,Financeiro,Holdings Diversificadas,SIMH3,32.125.000
65.961.657.000,135.350.310.000,45.118.402.000,1.264.117.000,164.416.918.000,42.575.229.000,92.962.205.000,69.388.653.000,23.573.552.000,Novo Mercado,50.69,100.00,Materiais Básicos,Papel e Celulose,SUZB3,265.677.000
150.735.000,208.617.000,159.350.000,592.755.000,1.046.494.000,214.002.000,65.073.000,57.882.000,7.191.000,Tradicional,59.67,0.00,Bens Industriais,Construção Pesada,AZEV3,863.000
3.517.076.000,3.585.638.000,3.536.831.000,308.245.000,8.917.834.000,4.251.549.000,1.249.021.000,68.562.000,1.180.459.000,Novo Mercado,32.93,100.00,Consumo Cíclico,Tecidos. Vestuário e Calçados,CEAB3,133.369.000
1.559.223.000,3.432.278.000,1.271.345.000,346.494.000,4.633.471.000,1.384.316.000,2.498.284.000,1.873.055.000,625.229.000,Nível 1,49.46,100.00,Bens Industriais,Construção Pesada,ARML3,3.064.000
13.627.681.000,15.711.966.000,3.896.679.000,750.009.000,14.372.185.000,7.582.263.000,4.861.431.000,2.084.285.000,2.777.146.000,Nível 1,58.62,0.10,Bens Industriais,Serviços Diversos,GGPS3,43.350.000
18.822.526.000,24.816.933.000,8.612.454.000,380.253.000,16.780.052.000,2.283.900.000,6.627.486.000,5.994.407.000,633.079.000,Novo Mercado,49.56,100.00,Utilidade Pública,Água e Saneamento,CSMG3,130.212.000
30.200.394.000,35.851.928.000,16.846.413.000,1.682.473.000,64.292.562.000,32.863.984.000,20.745.520.000,5.651.534.000,15.093.986.000,Novo Mercado,48.41,0.10,Consumo não Cíclico,Carnes e Derivados,BRFS3,0
64.347.000,10.103.857.000,-15.495.962.000,330.121.000,18.729.654.000,4.601.185.000,11.188.856.000,10.039.510.000,1.149.346.000,Nível 1,90.04,100.00,Telecomunicações,Telecomunicações,OIBR3,719.000
133.489.128.000,133.489.128.000,123.852.072.000,7.498.531.000,1.263.370.224.000,1.126.051.979.000,0,0,21.583.905.000,Nível 1,9.88,100.00,Financeiro,Bancos,SANB11,100.751.000
8.309.402.000,10.509.686.000,2.759.275.000,442.931.000,6.369.022.000,1.080.592.000,2.593.939.000,2.200.284.000,393.655.000,Novo Mercado,43.34,100.00,Bens Industriais,Serviços de Apoio e Armazenagem,PORT3,0
8.530.094.000,29.229.565.000,4.207.984.000,696.334.000,35.119.596.000,5.231.617.000,24.815.049.000,20.699.471.000,4.115.578.000,Novo Mercado,47.92,100.00,Bens Industriais,Exploração de Rodovias,ECOR3,41.555.000
6.696.206.000,7.013.377.000,2.935.852.000,236.197.000,4.699.193.000,3.028.181.000,551.533.000,317.170.000,234.362.000,Novo Mercado,53.31,100.00,Consumo Cíclico,Acessórios,VIVA3,142.816.000
27.741.083.000,59.293.534.000,18.484.512.000,2.518.367.000,82.858.461.000,19.805.340.000,41.047.221.000,31.552.451.000,9.494.770.000,Nível 2,71.31,100.00,Utilidade Pública,Energia Elétrica,ENGI11,129.792.000
3.783.908.000,3.576.692.000,3.154.380.000,327.611.000,5.591.369.000,4.110.059.000,1.047.917.000,-207.216.000,1.255.133.000,Novo Mercado,34.93,100.00,Telecomunicações,Telecomunicações,INTB3,17.029.000
4.366.454.000,3.350.180.000,4.050.731.000,902.160.000,4.524.891.000,2.761.241.000,83.703.000,-1.016.274.000,1.099.977.000,Novo Mercado,29.67,100.00,Consumo Cíclico,Calçados,GRND3,19.899.000
356.043.000,1.885.041.000,1.461.831.000,133.851.000,6.584.084.000,2.744.379.000,1.855.296.000,1.528.998.000,326.298.000,Novo Mercado,49.01,100.00,Consumo Cíclico,Incorporações,HBOR3,2.895.000
4.525.911.000,-638.652.000,5.327.120.000,81.842.000,15.662.546.000,6.351.611.000,,-5.164.564.000,5.164.564.000,Novo Mercado,99.48,100.00,Financeiro,Seguradoras,IRBR3,42.666.000
16.000.209.000,23.275.220.000,12.254.236.000,633.420.000,25.153.665.000,6.287.208.000,9.138.773.000,7.275.011.000,1.863.762.000,Novo Mercado,64.65,100.00,Saúde,Medicamentos e Outros Produtos,HYPE3,55.099.000
1.035.266.000,2.367.266.000,4.737.000.000,200.244.000,16.154.000.000,7.514.000.000,1.907.000.000,1.332.000.000,575.000.000,Nível 1,69.88,0.10,Consumo Cíclico,Produtos Diversos,AMER3,9.858.000
3.025.228.000,3.333.284.000,1.227.284.000,122.578.000,6.190.365.000,3.739.146.000,1.224.917.000,308.056.000,916.861.000,Novo Mercado,98.69,100.00,Consumo Cíclico,Incorporações,TEND3,45.063.000
529.708.000,558.337.000,448.152.000,206.917.000,3.666.739.000,2.656.845.000,559.508.000,28.629.000,530.879.000,Novo Mercado,95.63,100.00,Consumo não Cíclico,Produtos Diversos,LJQQ3,5.026.000
63.180.811.000,80.138.261.000,25.986.034.000,4.665.273.000,62.048.417.000,13.140.211.000,20.928.087.000,16.957.450.000,3.970.637.000,Nível 2,100.00,100.00,Utilidade Pública,Energia Elétrica,CPLE3,260.558.000
6.159.147.000,9.324.560.000,4.729.060.000,651.072.000,13.876.752.000,4.603.207.000,4.374.226.000,3.165.413.000,1.208.813.000,Nível 1,31.40,100.00,Bens Industriais,Máquinas e Equipamentos Industriais,CBAV3,48.848.000
7.974.947.000,13.935.381.000,5.265.743.000,498.745.000,20.525.452.000,8.994.607.000,7.681.012.000,5.960.434.000,1.720.578.000,Novo Mercado,43.81,100.00,Consumo não Cíclico,Agricultura,SLCE3,37.972.000
3.263.410.000,4.730.447.000,4.563.499.000,293.472.000,7.897.842.000,1.388.394.000,2.400.752.000,1.467.037.000,933.715.000,Nível 1,93.96,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,RECV3,48.455.000
5.251.035.000,7.578.087.000,8.347.712.000,206.489.000,15.516.275.000,6.874.456.000,3.062.571.000,2.327.052.000,735.519.000,Novo Mercado,56.14,100.00,Consumo Cíclico,Tecidos. Vestuário e Calçados,AZZA3,85.488.000
3.013.592.000,7.401.730.000,971.212.000,1.132.929.000,8.221.357.000,3.067.331.000,4.861.344.000,4.388.138.000,473.206.000,Nível 1,46.26,100.00,Saúde,Medicamentos e Outros Produtos,ONCO3,12.593.000
1.165.165.000,1.196.007.000,3.036.006.000,820.539.000,5.284.916.000,3.678.559.000,501.179.000,30.842.000,470.337.000,Nível 1,47.06,100.00,Tecnologia da Informação,Computadores e Equipamentos,MLAS3,1.340.000
7.182.900.000,7.400.469.000,2.445.693.000,520.500.000,12.415.734.000,5.613.159.000,2.667.075.000,217.569.000,2.449.506.000,Novo Mercado,62.51,100.00,Consumo Cíclico,Incorporações,DIRR3,111.323.000
2.481.709.000,2.402.853.000,984.234.000,66.002.000,1.392.114.000,720.668.000,166.808.000,-78.856.000,245.664.000,Novo Mercado,48.48,100.00,Bens Industriais,Transporte Rodoviário,TGMA3,6.264.000
1.815.173.000,1.803.146.000,755.919.000,179.720.000,1.552.761.000,1.016.654.000,351.835.000,-12.027.000,363.862.000,Novo Mercado,98.19,100.00,Bens Industriais,Máquinas e Equipamentos Industriais,KEPL3,18.551.000
11.403.278.000,12.841.786.000,10.193.327.000,2.303.692.000,23.696.093.000,12.388.045.000,2.621.401.000,1.438.508.000,1.182.893.000,Novo Mercado,21.00,100.00,Consumo não Cíclico,Produtos Diversos,GMAT3,37.472.000
20.172.905.000,32.571.236.000,20.907.007.000,658.883.000,45.643.761.000,7.065.287.000,14.818.493.000,12.398.331.000,2.420.162.000,Nível 1,64.18,0.00,Utilidade Pública,Energia Elétrica,ISAE4,44.047.000
1.717.480.000,8.604.895.000,5.622.126.000,372.555.000,25.743.932.000,5.831.189.000,9.528.927.000,6.887.415.000,2.641.512.000,Novo Mercado,99.81,100.00,Utilidade Pública,Energia Elétrica,LIGT3,3.911.000
10.458.215.000,10.007.998.000,1.385.221.000,308.047.000,5.631.997.000,3.406.837.000,1.322.986.000,-450.217.000,1.773.203.000,Novo Mercado,43.72,100.00,Consumo Cíclico,Incorporações,CURY3,99.103.000
667.433.000,1.596.990.000,1.325.596.000,284.014.000,3.906.812.000,1.367.698.000,1.386.794.000,929.557.000,457.237.000,Novo Mercado,98.05,0.10,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,QUAL3,6.096.000
