Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Papel
34541418000,51523557000,25596150000,2982810000,60742037000,12093928000,19887878000,16982139000,2905739000,100.00,Nível_2,100.00,Utilidade_Pública,Energia_Elétrica,CPLE6
36332751000,69653028000,25487173000,1082620000,81318753000,17427494000,41569526000,33320277000,8249249000,100.00,Novo_Mercado,79.72,Consumo_Cíclico,Aluguel_de_carros,RENT3
211855933000,211855933000,63703322000,11506119000,545461564000,473688143000,,,1375548000,100.00,Nível_1,29.94,Financeiro,Bancos,BPAC11
8735851000,21024615000,12250519000,464179000,43454299000,7535744000,16880450000,12288764000,4591686000,100.00,Novo_Mercado,99.91,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,BRAV3
109992974000,120854560000,68076737000,3226546000,126475682000,26337387000,20315690000,10861586000,9454104000,80.00,Tradicional,24.64,Telecomunicações,Telecomunicações,VIVT3
25120920000,24719380000,4897167000,599401000,8962553000,3169357000,1692700000,-401540000,2094240000,100.00,Novo_Mercado,87.53,Tecnologia_da_Informação,Programas_e_Serviços,TOTS3
1470531000,4096531000,2553000000,490177000,18363000000,5218000000,4411000000,2626000000,1785000000,100.00,Novo_Mercado,77.40,Consumo_não_Cíclico,Alimentos,PCAR3
30855409000,33946515000,6671833000,1718007000,23052470000,13277609000,3696405000,3091106000,605299000,100.00,Novo_Mercado,74.49,Saúde,Medicamentos_e_Outros_Produtos,RADL3
2744981000,5388240000,2203050000,760382000,6876136000,2378352000,3738632000,2643259000,1095373000,100.00,Novo_Mercado,99.93,Bens_Industriais,Transporte_Hidroviário,HBSA3
8947003000,18049573000,19373882000,993705000,86914266000,33366538000,18090359000,9102570000,8987789000,100.00,Nível_1,70.19,Materiais_Básicos,Siderurgia,GOAU4
270047000,8814047000,1539000000,95086000,33525000000,14020000000,10427000000,8544000000,1883000000,100.00,Novo_Mercado,99.75,Consumo_Cíclico,Eletrodomésticos,BHIA3
156214560000,156214560000,174053985000,10592012000,2147570089000,1740446958000,,,222829387000,100.00,Nível_1,62.16,Financeiro,Bancos,BBDC3
2290947000,2027182000,2754104000,562886000,3831464000,1168227000,81473000,-263765000,345238000,100.00,Novo_Mercado,71.83,Tecnologia_da_Informação,Programas_e_Serviços,LWSA3
41291000,41287000,-23642000,31822000,41658000,13921000,-,-4000,4000,0.00,Tradicional,61.28,Bens_Industriais,Material_Rodoviário,RCSL4
55905111000,61076827000,18191249000,740465000,65886626000,35566816000,12034332000,5171716000,6862616000,100.00,Novo_Mercado,99.20,Bens_Industriais,Material_Aeronáutico_e_de_Defesa,EMBR3
35529000,905470000,-201372000,74020000,1466247000,732429000,971265000,869941000,101324000,100.00,Nível_1,82.23,Telecomunicações,Telecomunicações,IFCM3
22507843000,50393259000,10192494000,6179682000,60335243000,15144906000,35968169000,27885416000,8082753000,100.00,Nível_2,63.92,Materiais_Básicos,Papel_e_Celulose,KLBN11
63800000000,55127193000,10494024000,2000000000,21376875000,9994317000,-,-8672807000,8672807000,100.00,Novo_Mercado,31.87,Financeiro,Seguradoras,BBSE3
102744000,102737000,151852000,197585000,186882000,200000,-,-7000,7000,0.00,Novo_Mercado,0.00,Materiais_Básicos,Petroquímicos,AZTE3
2134370000,9374046000,3056777000,329330000,17465355000,9104660000,8965671000,7239676000,1725995000,80.00,Nível_1,60.10,Bens_Industriais,Material_Rodoviário,RAPT4
19818139000,62881349000,2834441000,857928000,137817432000,53153889000,66039994000,43063210000,22976784000,100.00,Novo_Mercado,33.58,Consumo_não_Cíclico,Carnes_e_Derivados,MRFG3
408905507000,728495507000,399222000000,12888732000,1174890000000,135859000000,371437000000,319590000000,51847000000,100.00,Nível_2,60.70,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,PETR3
1813092000,1867190000,1682182000,462523000,3812140000,1377094000,428010000,54098000,373912000,100.00,Novo_Mercado,66.53,Consumo_não_Cíclico,Produtos_Diversos,PETZ3
7510130000,18085336000,5382919000,622730000,20046325000,3074956000,11584036000,10575206000,1008830000,100.00,Novo_Mercado,68.34,Utilidade_Pública,Energia_Elétrica,SRNA3
13559784000,16779601000,5639224000,586242000,18455968000,3965927000,5952367000,3219817000,2732550000,0.00,Tradicional,52.44,Consumo_Cíclico,Atividades_Esportivas,SMFT3
41070000000,39956600000,13330716000,3000000000,14423704000,1717451000,-,-1113400000,1113400000,100.00,Novo_Mercado,17.25,Financeiro,Seguradoras,CXSE3
13695538000,18077681000,5905050000,519163000,12311269000,1816949000,5124436000,4382143000,742293000,0.10,Nível_2,52.93,Financeiro,Exploração_de_Imóveis,MULT3
103208364000,143661089000,118706918000,2307099000,274960124000,49985173000,70289868000,40452725000,29837143000,80.00,Nível_1,97.35,Utilidade_Pública,Energia_Elétrica,ELET3
6519358000,42784358000,-3805000000,797207000,91303000000,30743000000,46569000000,36265000000,10304000000,100.00,Nível_1,34.97,Materiais_Básicos,Petroquímicos,BRKM5
26274773000,21174929000,9237283000,5485338000,35991112000,16982284000,9269768000,-5099844000,14369612000,100.00,Nível_1,20.25,Materiais_Básicos,Minerais_Metálicos,CMIN3
43894808000,89598608000,27995081000,1248075000,116701444000,25128826000,55111977000,45703800000,9408177000,100.00,Novo_Mercado,100.00,Utilidade_Pública,Energia_Elétrica,EQTL3
553772000,482446000,528901000,112784000,655324000,150681000,143000,-71326000,71469000,100.00,Novo_Mercado,75.33,Tecnologia_da_Informação,Programas_e_Serviços,CASH3
6033963000,5739902000,8768448000,393096000,8818001000,294544000,-,-294061000,294061000,80.00,Nível_1,71.57,Financeiro,Holdings_Diversificadas,BRAP4
54177602000,51610101000,25125486000,2420804000,56954895000,13455115000,2906256000,-2567501000,5473757000,100.00,Novo_Mercado,33.40,Telecomunicações,Telecomunicações,TIMS3
22312541000,37627936000,19495012000,1584697000,53385056000,8955822000,19171192000,15315395000,3855797000,100.00,Novo_Mercado,99.68,Utilidade_Pública,Energia_Elétrica,ENEV3
3758155000,8249618000,3041058000,289088000,9549663000,2244908000,5284351000,4491463000,792888000,100.00,Novo_Mercado,93.61,Consumo_Cíclico,Serviços_Educacionais,YDUQ3
7682562000,10962162000,5379103000,547191000,13072446000,4368087000,5364212000,3279600000,2084612000,100.00,Novo_Mercado,84.87,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,FLRY3
6257378000,8026199000,4177323000,1214491000,7791679000,1940835000,3367008000,1768821000,1598187000,100.00,Tradicional,55.81,Financeiro,Exploração_de_Imóveis,IGTI11
85985829000,83425037000,25362533000,2289292000,105709758000,54856940000,37985678000,-2560792000,40546470000,100.00,Nível_1,50.01,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,RDOR3
18969289000,22502318000,48574076000,502630000,74351385000,12259864000,13074815000,3533029000,9541786000,100.00,Novo_Mercado,58.28,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,HAPV3
3692769000,7060797000,5988659000,681322000,15473499000,5572007000,5586439000,3368028000,2218411000,100.00,Novo_Mercado,43.12,Consumo_Cíclico,Incorporações,JHSF3
1280264000,5303111000,2379050000,403868000,10000011000,2358349000,5467127000,4022847000,1444280000,100.00,Novo_Mercado,63.64,Consumo_Cíclico,Serviços_Educacionais,ANIM3
4811705000,5075664000,3455688000,308245000,8869904000,4176956000,1267836000,263959000,1003877000,100.00,Novo_Mercado,32.93,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,CEAB3
4603376000,9754016000,6806909000,820566000,17988546000,4911424000,6612141000,5150640000,1461501000,100.00,Novo_Mercado,36.77,Materiais_Básicos,Madeira,DXCO3
32690455000,38341989000,16846413000,1682473000,64292562000,32863984000,20745520000,5651534000,15093986000,0.10,Novo_Mercado,48.41,Consumo_não_Cíclico,Carnes_e_Derivados,BRFS3
12292091000,9325856000,13446790000,542936000,26434116000,3817026000,-,-2966235000,2966235000,100.00,Novo_Mercado,92.76,Financeiro,Exploração_de_Imóveis,ALOS3
79123102000,102481061000,40444121000,683509000,88719931000,13234427000,31283547000,23357959000,7925588000,100.00,Novo_Mercado,49.74,Utilidade_Pública,Água_e_Saneamento,SBSP3
96644000,868102000,779741000,187167000,2193027000,478724000,786405000,771458000,14947000,0.00,Tradicional,59.66,Bens_Industriais,Construção_Pesada,AZEV4
66644280000,137899997000,43137811000,1264117000,159422893000,39909114000,91627156000,71255717000,20371439000,100.00,Novo_Mercado,50.69,Materiais_Básicos,Papel_e_Celulose,SUZB3
10019668000,15806550000,8421329000,380253000,16581863000,2683796000,6819843000,5786882000,1032961000,100.00,Novo_Mercado,49.56,Utilidade_Pública,Água_e_Saneamento,CSMG3
3902491000,50038543000,3359095000,873040000,84130593000,28882919000,58517153000,46136052000,12381101000,100.00,Novo_Mercado,26.00,Financeiro,Holdings_Diversificadas,SIMH3
96644000,868102000,779741000,187167000,2193027000,478724000,786405000,771458000,14947000,0.00,Tradicional,59.66,Bens_Industriais,Construção_Pesada,AZEV3
1389503000,3295858000,1232630000,346509000,4585303000,1465549000,2529687000,1906355000,623332000,100.00,Nível_1,49.46,Bens_Industriais,Construção_Pesada,ARML3
11243079000,13497509000,3737484000,674854000,14217072000,7341600000,4953746000,2254430000,2699316000,100.00,Nível_1,58.62,Bens_Industriais,Serviços_Diversos,GGPS3
3911676000,4059389000,3076452000,327611000,5211775000,3734054000,985348000,147713000,837635000,100.00,Novo_Mercado,34.93,Telecomunicações,Telecomunicações,INTB3
31947143000,77033143000,35221000000,1213797000,110816000000,21358000000,50695000000,45086000000,5609000000,100.00,Novo_Mercado,16.07,Utilidade_Pública,Energia_Elétrica,NEOE3
4776852000,24707727000,3777957000,696334000,32690853000,4228476000,22912406000,19930875000,2981531000,100.00,Novo_Mercado,47.92,Bens_Industriais,Exploração_de_Rodovias,ECOR3
6509610000,6799839000,2762509000,236197000,4286200000,2704470000,476314000,290229000,186085000,100.00,Novo_Mercado,53.31,Consumo_Cíclico,Acessórios,VIVA3
4781448000,3458033000,4019472000,902160000,4456298000,2912340000,86407000,-1323415000,1409822000,100.00,Novo_Mercado,29.67,Consumo_Cíclico,Calçados,GRND3
194757000,10042813000,-14660023000,330121000,19644491000,5242607000,11291004000,9848056000,1442948000,100.00,Nível_1,90.04,Telecomunicações,Telecomunicações,OIBR3
98928538000,98928538000,122271222000,7498531000,1240333567000,264400814000,,,24371817000,100.00,Nível_1,9.88,Financeiro,Bancos,SANB11
427209000,299217000,489790000,195072000,3738105000,2711456000,496800000,-127992000,624792000,100.00,Novo_Mercado,95.63,Consumo_não_Cíclico,Produtos_Diversos,LJQQ3
1894621000,5150513000,4361183000,651072000,13339421000,4200378000,3929242000,3255892000,673350000,100.00,Nível_1,31.40,Bens_Industriais,Máquinas_e_Equipamentos_Industriais,CBAV3
2552974000,2982440000,1179662000,123094000,5850578000,3647393000,1190673000,429466000,761207000,100.00,Novo_Mercado,98.69,Consumo_Cíclico,Incorporações,TEND3
34541418000,51523557000,25596150000,2982810000,60742037000,12093928000,19887878000,16982139000,2905739000,100.00,Nível_2,100.00,Utilidade_Pública,Energia_Elétrica,CPLE3
7853801000,10243286000,2601003000,439988000,6278712000,923359000,2673577000,2389485000,284092000,100.00,Novo_Mercado,43.34,Bens_Industriais,Serviços_de_Apoio_e_Armazenagem,PORT3
23323909000,52420597000,18226858000,2289424000,79416800000,17857182000,37814302000,29096688000,8717614000,100.00,Nível_2,71.31,Utilidade_Pública,Energia_Elétrica,ENGI11
370767000,1900726000,1461366000,133851000,6462804000,3179783000,1740375000,1529959000,210416000,100.00,Novo_Mercado,49.01,Consumo_Cíclico,Incorporações,HBOR3
14758705000,22399012000,11991948000,633420000,24237607000,5611934000,8843922000,7640307000,1203615000,100.00,Novo_Mercado,64.65,Saúde,Medicamentos_e_Outros_Produtos,HYPE3
3647460000,4820310000,4438631000,293440000,7201845000,1135282000,1824398000,1172850000,651548000,100.00,Nível_1,93.96,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,RECV3
7545471000,13377905000,5179102000,443329000,17610712000,7720453000,6982046000,5832434000,1149612000,100.00,Novo_Mercado,43.81,Consumo_não_Cíclico,Agricultura,SLCE3
993205000,2101205000,4376000000,200243000,16175000000,6356000000,1883000000,1108000000,775000000,0.10,Nível_1,69.88,Consumo_Cíclico,Produtos_Diversos,AMER3
6535402000,8745601000,8339548000,206489000,15516832000,6865973000,3033361000,2210199000,823162000,100.00,Novo_Mercado,56.14,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,AZZA3
3810422000,-692735000,5207666000,82263000,15788614000,5780296000,-,-4503158000,4503158000,100.00,Novo_Mercado,99.48,Financeiro,Seguradoras,IRBR3
4730370000,4730370000,10833866000,408974000,156338226000,146627096000,,,3435018000,100.00,Nível_1,50.61,Financeiro,Bancos,BRSR6
7240155000,7231178000,2203628000,520500000,11566858000,5250822000,2115603000,-8977000,2124580000,100.00,Novo_Mercado,62.51,Consumo_Cíclico,Incorporações,DIRR3
2410426000,2260338000,993359000,66002000,1397078000,751456000,197063000,-150088000,347151000,100.00,Novo_Mercado,48.48,Bens_Industriais,Transporte_Rodoviário,TGMA3
22507843000,50393259000,10192494000,6179682000,60335243000,15144906000,35968169000,27885416000,8082753000,100.00,Nível_2,63.92,Materiais_Básicos,Papel_e_Celulose,KLBN4
2493812000,4666790000,3155670000,244012000,8671530000,4664963000,2583437000,2172978000,410459000,100.00,Novo_Mercado,60.31,Consumo_Cíclico,Produtos_Diversos,SBFG3
1324537000,1310018000,728883000,179720000,1526025000,1007161000,343720000,-14519000,358239000,100.00,Novo_Mercado,98.19,Bens_Industriais,Máquinas_e_Equipamentos_Industriais,KEPL3
505545000,1451442000,1312984000,284014000,3801619000,1199774000,1381411000,945897000,435514000,0.10,Novo_Mercado,98.05,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,QUAL3
44972490000,69693639000,21481780000,1152254000,79238240000,16105849000,28931803000,24721149000,4210654000,100.00,Novo_Mercado,16.29,Utilidade_Pública,Energia_Elétrica,CPFE3
795923000,953810000,2971220000,820539000,5346369000,3620676000,656760000,157887000,498873000,100.00,Nível_1,47.06,Tecnologia_da_Informação,Computadores_e_Equipamentos,MLAS3
9310815000,9083052000,1329968000,291875000,5183964000,3005750000,1303112000,-227763000,1530875000,100.00,Novo_Mercado,43.72,Consumo_Cíclico,Incorporações,CURY3
15200301000,16288042000,10217395000,2209346000,20393545000,11817576000,2115518000,1087741000,1027777000,100.00,Novo_Mercado,21.00,Consumo_não_Cíclico,Produtos_Diversos,GMAT3
2489713000,6835254000,2852589000,527481000,10301343000,3374080000,5313552000,4345541000,968011000,100.00,Nível_1,46.26,Saúde,Medicamentos_e_Outros_Produtos,ONCO3
2198076000,8658990000,5588972000,372555000,26154614000,6482628000,9637294000,6460914000,3176380000,100.00,Novo_Mercado,99.81,Utilidade_Pública,Energia_Elétrica,LIGT3
16651204000,28932997000,20601977000,658883000,43946662000,6605421000,14112054000,12281793000,1830261000,0.00,Nível_1,64.18,Utilidade_Pública,Energia_Elétrica,ISAE4
34042756000,24089018000,14482210000,646586000,50945015000,28063312000,-,-9953738000,9953738000,100.00,Novo_Mercado,28.23,Financeiro,Seguradoras,PSSA3
10422280000,15724029000,11784306000,1511205000,24914480000,2970923000,6698072000,5301749000,1396323000,100.00,Nível_2,79.97,Utilidade_Pública,Água_e_Saneamento,SAPR11
5531724000,13065614000,6934315000,332435000,21912196000,6596560000,10324102000,7533890000,2790212000,100.00,Novo_Mercado,41.10,Consumo_não_Cíclico,Açucar_e_Alcool,SMTO3
2930315000,3268259000,5015996000,220989000,7031122000,3134468000,1531713000,337944000,1193769000,100.00,Novo_Mercado,44.05,Consumo_Cíclico,Incorporações,EZTC3
604068000,1217416000,1597858000,141800000,4162288000,2685925000,1289224000,613348000,675876000,100.00,Novo_Mercado,51.71,Tecnologia_da_Informação,Computadores_e_Equipamentos,POSI3
7035962000,9253514000,4484862000,498297000,11584408000,7670246000,4064341000,2217552000,1846789000,100.00,Nível_1,22.52,Consumo_não_Cíclico,Agricultura,TTEN3
7187968000,6814066000,1291697000,552495000,2118058000,503735000,-,-373902000,373902000,100.00,Novo_Mercado,45.96,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,ODPV3
2651242000,2835279000,911158000,204256000,3049801000,2561497000,737803000,184037000,553766000,100.00,Novo_Mercado,26.62,Financeiro,Intermediação_Imobiliária,PLPL3
11426025000,20837853000,7612368000,1033496000,21504866000,3198267000,10308711000,9411828000,896883000,100.00,Nível_2,63.44,Utilidade_Pública,Energia_Elétrica,TAEE11
971111000,7514049000,7611977000,752799000,20220243000,5462136000,7950100000,6542938000,1407162000,0.00,Tradicional,19.32,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,DASA3
9797221000,9797221000,7518664000,1269070000,66687123000,59411783000,,,2164000,100.00,Nível_1,22.21,Financeiro,Bancos,BPAN4
306679000,3159021000,1787203000,322820000,9204031000,4814005000,3664742000,2852342000,812400000,100.00,Nível_1,56.46,Saúde,Serviços_Médicos._Hospitalares._Análises_e_Diagnósticos,VVEO3
5252782000,5252782000,6581403000,244656000,62051325000,56432308000,,,558095000,100.00,Nível_2,30.59,Financeiro,Bancos,ABCB4
2064642000,2064642000,4472589000,583232000,48301069000,40285796000,,,537838000,100.00,Nível_1,27.45,Financeiro,Bancos,BMGB4
4158336000,4930910000,5527430000,499200000,13546372000,8442818000,1972668000,772574000,1200094000,0.00,Nível_1,16.41,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,GUAR3
32343375000,53775915000,12309470000,815927000,53308650000,8824865000,27092953000,21432540000,5660413000,100.00,Novo_Mercado,31.28,Utilidade_Pública,Energia_Elétrica,EGIE3
6291321000,7221453000,24277714000,1253079000,40655884000,18064823000,7674093000,930132000,6743961000,80.00,Nível_1,53.95,Materiais_Básicos,Siderurgia,USIM3
6077434000,5897421000,4133329000,683062000,6194674000,3031060000,684564000,-180013000,864577000,0.00,Nível_1,27.74,Consumo_Cíclico,Calçados,ALPA4
6010563000,7940490000,2183556000,270016000,6637146000,3172894000,2680089000,1929927000,750162000,80.00,Nível_1,33.14,Bens_Industriais,Material_Rodoviário,FRAS3
1015085000,772860000,1038173000,152644000,2753333000,778332000,465399000,-242225000,707624000,100.00,Novo_Mercado,22.82,Financeiro,Exploração_de_Imóveis,SYNE3
10422280000,15724029000,11784306000,1511205000,24914480000,2970923000,6698072000,5301749000,1396323000,100.00,Nível_2,79.97,Utilidade_Pública,Água_e_Saneamento,SAPR4
372280000,619629000,937277000,286369000,2479058000,518772000,545072000,247349000,297723000,100.00,Novo_Mercado,98.66,Consumo_Cíclico,Restaurante_e_Similares,MEAL3
2094176000,3551037000,2778335000,581715000,9115564000,4959877000,1700639000,1456861000,243778000,100.00,Novo_Mercado,31.17,Saúde,Medicamentos_e_Outros_Produtos,PGMN3
2084437000,6001163000,4317766000,153719000,14920051000,6926163000,5595416000,3916726000,1678690000,100.00,Novo_Mercado,84.74,Consumo_Cíclico,Automóveis_e_Motocicletas,MYPK3
1512000000,5394384000,3488881000,350000000,12142367000,7187784000,5506717000,3882384000,1624333000,100.00,Novo_Mercado,27.08,Consumo_não_Cíclico,Alimentos_Diversos,CAML3
5096892000,4998550000,1513812000,357374000,2807640000,1804855000,811886000,-98342000,910228000,0.00,Tradicional,56.37,Bens_Industriais,Motores._Compressores_e_Outros,SHUL4
1781936000,2936918000,1422134000,239829000,3768111000,1243755000,1782087000,1154982000,627105000,100.00,Tradicional,44.27,Materiais_Básicos,Papel_e_Celulose,RANI3
200604000,1969000,306081000,202630000,420928000,242259000,-,-198635000,198635000,100.00,Nível_1,72.16,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,ENJU3
852952000,4290729000,1989207000,303541000,7445998000,2616614000,4944248000,3437777000,1506471000,100.00,Nível_1,31.69,Consumo_não_Cíclico,Açucar_e_Alcool,JALL3
9988952000,19067607000,8570256000,988880000,31334837000,6556473000,12775075000,9078655000,3696420000,100.00,Nível_2,34.43,Utilidade_Pública,Energia_Elétrica,ALUP11
5641000,402529000,-3429785000,29691000,514542000,345337000,426572000,396888000,29684000,100.00,Novo_Mercado,99.95,Consumo_Cíclico,Incorporações,PDGR3
1366753000,1655006000,1353141000,135322000,3586824000,2521794000,853164000,288253000,564911000,100.00,Novo_Mercado,43.03,Consumo_não_Cíclico,Agricultura,SOJA3
358576000,843291000,992548000,105774000,2310159000,1889252000,667324000,484715000,182609000,100.00,Novo_Mercado,54.06,Consumo_Cíclico,Incorporações,MTRE3
615284000,1223035000,1274569000,126634000,2563359000,1480437000,802129000,607751000,194378000,100.00,Nível_2,59.85,Bens_Industriais,Armas_e_Munições,TASA4
103208364000,143661089000,118706918000,2307099000,274960124000,49985173000,70289868000,40452725000,29837143000,0.00,Nível_1,97.35,Utilidade_Pública,Energia_Elétrica,ELET6
5399741000,5542557000,2356047000,274656000,3348381000,2284442000,354577000,142816000,211761000,100.00,Novo_Mercado,35.08,Consumo_Cíclico,Calçados,VULC3
1761824000,1288390000,1127179000,87003000,1620653000,1084743000,19002000,-473434000,492436000,100.00,Novo_Mercado,93.58,Tecnologia_da_Informação,Programas_e_Serviços,BMOB3
2824189000,4066159000,1530489000,234178000,3784204000,1224853000,1761186000,1241970000,519216000,0.10,Novo_Mercado,72.98,Bens_Industriais,Serviços_Diversos,MILS3
