Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Papel
245.469.529.000,311.765.529.000,214.175.000.000,4.539.007.000,493.226.000.000,95.964.000.000,97.383.000.000,66.296.000.000,31.087.000.000,"100,00",Novo_Mercado,"94,09",Materiais_Básicos,Minerais_Metálicos,VALE3
156.140.229.000,153.740.850.000,22.215.931.000,4.197.317.000,39.836.839.000,25.299.344.000,2.584.148.000,-2.399.379.000,4.983.527.000,"100,00",Novo_Mercado,"35,30",Bens_Industriais,"Motores,_Compressores_e_Outros",WEGE3
1.438.814.000,34.531.195.000,-28.451.132.000,896.039.000,25.548.693.000,5.960.923.000,34.693.507.000,33.092.381.000,1.601.126.000,"100,00",Nível_2,"50,56",Bens_Industriais,Transporte_Aéreo,AZUL4
108.026.221.000,108.026.221.000,181.793.664.000,5.730.834.000,2.427.051.877.000,2.160.716.659.000,,,71.510.833.000,"100,00",Novo_Mercado,"49,60",Financeiro,Bancos,BBAS3
5.123.134.000,10.575.221.000,12.444.512.000,1.876.606.000,24.203.940.000,4.711.693.000,6.873.792.000,5.452.087.000,1.421.705.000,"100,00",Novo_Mercado,"99,78",Consumo_Cíclico,Serviços_Educacionais,COGN3
67.095.210.000,67.457.901.000,18.794.551.000,5.266.500.000,46.292.029.000,16.116.282.000,14.881.775.000,362.691.000,14.519.084.000,"100,00",Nível_1,"99,37",Financeiro,Serviços_Financeiros_Diversos,B3SA3
436.407.170.000,762.683.170.000,395.841.000.000,12.888.732.000,1.147.716.000.000,124.853.000.000,370.314.000.000,326.276.000.000,44.038.000.000,"100,00",Nível_2,"60,70","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",PETR4
5.291.205.000,8.148.058.000,11.357.897.000,738.995.000,35.577.093.000,18.058.921.000,4.590.398.000,2.856.853.000,1.733.545.000,"100,00",Novo_Mercado,"47,83",Consumo_Cíclico,Eletrodomésticos,MGLU3
23.510.190.000,44.387.190.000,20.557.000.000,1.119.000.000,62.234.000.000,25.968.000.000,26.350.000.000,20.877.000.000,5.473.000.000,"100,00",Novo_Mercado,"99,61","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",VBBR3
3.348.818.000,12.178.176.000,5.996.125.000,562.826.000,28.758.188.000,12.945.859.000,9.363.441.000,8.829.358.000,534.083.000,"100,00",Novo_Mercado,"66,65",Consumo_Cíclico,Incorporações,MRVE3
114.517.726.000,118.343.726.000,85.938.000.000,10.993.810.000,110.639.000.000,12.196.000.000,11.262.000.000,3.826.000.000,7.436.000.000,"80,00",Nível_1,"65,74",Financeiro,Holdings_Diversificadas,ITSA4
6.612.462.000,7.542.594.000,24.277.714.000,1.253.079.000,40.655.884.000,18.064.823.000,7.674.093.000,930.132.000,6.743.961.000,"0,00",Nível_1,"53,95",Materiais_Básicos,Siderurgia,USIM5
13.264.541.000,25.181.541.000,5.385.000.000,1.352.144.000,44.685.000.000,15.707.000.000,16.319.000.000,11.917.000.000,4.402.000.000,"100,00",Nível_1,"99,82",Consumo_não_Cíclico,Alimentos,ASAI3
154.255.274.000,154.255.274.000,174.053.985.000,10.592.012.000,2.147.570.089.000,1.740.446.958.000,,,222.829.387.000,"80,00",Nível_1,"62,16",Financeiro,Bancos,BBDC4
14.389.988.000,61.084.864.000,17.588.530.000,10.352.509.000,140.999.678.000,61.120.378.000,68.416.269.000,46.694.876.000,21.721.393.000,"100,00",Nível_1,"11,52",Consumo_não_Cíclico,Açucar_e_Alcool,RAIZ4
17.991.153.000,16.784.802.000,10.265.765.000,1.059.549.000,18.457.504.000,10.556.391.000,424.456.000,-1.206.351.000,1.630.807.000,"100,00",Novo_Mercado,"98,89",Consumo_Cíclico,"Tecidos,_Vestuário_e_Calçados",LREN3
195.601.936.000,181.235.122.000,92.471.636.000,15.761.638.000,142.157.543.000,40.791.956.000,3.157.764.000,-14.366.814.000,17.524.578.000,"80,00",Tradicional,"27,89",Consumo_não_Cíclico,Cervejas_e_Refrigerantes,ABEV3
9.892.660.000,42.303.093.000,13.904.040.000,1.326.093.000,101.070.743.000,34.699.821.000,51.567.038.000,32.410.433.000,19.156.605.000,"0,00",Tradicional,"54,26",Materiais_Básicos,Siderurgia,CSNA3
12.055.176.000,14.300.596.000,607.731.000,864.170.000,5.297.700.000,855.755.000,2.627.400.000,2.245.420.000,381.980.000,"100,00",Novo_Mercado,"99,02",Bens_Industriais,Serviços_de_Apoio_e_Armazenagem,STBP3
10.863.442.000,63.126.920.000,7.891.663.000,1.866.570.000,127.486.217.000,28.053.101.000,67.072.561.000,52.263.478.000,14.809.083.000,"100,00",Novo_Mercado,"62,18","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",CSAN3
31.785.995.000,40.902.504.000,54.922.968.000,2.028.194.000,86.854.070.000,33.306.852.000,18.090.359.000,9.116.509.000,8.973.850.000,"100,00",Nível_1,"58,69",Materiais_Básicos,Siderurgia,GGBR4
33.264.978.000,43.807.092.000,27.914.455.000,2.861.781.000,63.901.931.000,15.471.501.000,15.242.574.000,10.542.114.000,4.700.460.000,"0,00",Nível_1,"81,34",Utilidade_Pública,Energia_Elétrica,CMIG4
1.224.627.000,1.388.100.000,519.227.000,525.591.000,3.732.855.000,2.157.358.000,567.327.000,163.473.000,403.854.000,"100,00",Novo_Mercado,"100,00",Consumo_Cíclico,Viagens_e_Turismo,CVCB3
10.241.185.000,30.240.473.000,13.251.475.000,1.050.377.000,52.266.696.000,11.093.981.000,26.161.764.000,19.999.288.000,6.162.476.000,"100,00",Novo_Mercado,"29,18",Utilidade_Pública,Energia_Elétrica,AURE3
2.224.534.000,19.166.094.000,2.607.676.000,362.302.000,29.211.368.000,7.253.058.000,19.978.755.000,16.941.560.000,3.037.195.000,"100,00",Novo_Mercado,"33,63",Consumo_Cíclico,Aluguel_de_carros,MOVI3
2.981.761.000,18.567.098.000,-650.682.000,607.283.000,40.181.432.000,22.847.586.000,27.459.390.000,15.585.337.000,11.874.053.000,"100,00",Novo_Mercado,"42,98",Consumo_não_Cíclico,Carnes_e_Derivados,BEEF3
4.183.595.000,16.080.699.000,2.488.245.000,1.081.032.000,22.404.556.000,5.914.815.000,16.379.021.000,11.897.104.000,4.481.917.000,"100,00",Nível_1,"37,63",Bens_Industriais,Material_de_Transporte,VAMO3
25.598.307.000,28.300.131.000,6.485.912.000,1.718.007.000,22.633.253.000,13.107.724.000,3.172.000.000,2.701.824.000,470.176.000,"100,00",Novo_Mercado,"74,49",Saúde,Medicamentos_e_Outros_Produtos,RADL3
30.438.399.000,43.554.855.000,14.598.934.000,1.854.868.000,51.422.656.000,10.724.155.000,20.969.942.000,13.116.456.000,7.853.486.000,"100,00",Novo_Mercado,"100,00",Bens_Industriais,Transporte_Ferroviário,RAIL3
25.775.200.000,58.061.869.000,14.702.536.000,2.020.000.000,64.511.989.000,10.346.826.000,38.965.561.000,32.286.669.000,6.678.892.000,"100,00",Novo_Mercado,"49,27",Bens_Industriais,Exploração_de_Rodovias,MOTV3
360.996.546.000,360.996.546.000,201.140.000.000,10.784.548.000,2.802.812.000.000,2.620.833.000.000,,,38.893.000.000,"80,00",Nível_1,"52,98",Financeiro,Bancos,ITUB4
9.273.600.000,12.278.654.000,9.350.228.000,384.000.000,21.847.715.000,12.383.990.000,6.017.458.000,3.005.054.000,3.012.404.000,"100,00",Novo_Mercado,"66,22",Consumo_Cíclico,Incorporações,CYRE3
36.203.421.000,54.106.391.000,26.603.165.000,896.346.000,54.789.865.000,8.294.219.000,22.065.296.000,17.902.970.000,4.162.326.000,"100,00",Novo_Mercado,"89,53","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",PRIO3
37.014.802.000,71.644.160.000,26.432.564.000,1.082.620.000,80.956.256.000,17.543.980.000,42.798.938.000,34.629.358.000,8.169.580.000,"100,00",Novo_Mercado,"79,72",Consumo_Cíclico,Aluguel_de_carros,RENT3
190.553.164.000,190.553.164.000,59.778.576.000,11.506.119.000,499.233.657.000,432.383.243.000,,,1.593.059.000,"100,00",Nível_1,"29,94",Financeiro,Bancos,BPAC11
8.893.672.000,22.213.874.000,11.151.166.000,464.179.000,43.181.058.000,7.229.894.000,17.691.711.000,13.320.202.000,4.371.509.000,"100,00",Novo_Mercado,"99,91","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",BRAV3
103.055.899.000,113.917.485.000,68.076.737.000,3.226.546.000,126.475.682.000,26.337.387.000,20.315.690.000,10.861.586.000,9.454.104.000,"80,00",Tradicional,"24,64",Telecomunicações,Telecomunicações,VIVT3
18.640.125.000,30.940.864.000,15.195.537.000,1.115.507.000,37.754.597.000,14.574.123.000,15.038.157.000,12.300.739.000,2.737.418.000,"100,00",Novo_Mercado,"97,66","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",UGPA3
9.171.311.000,10.528.195.000,4.175.411.000,1.136.271.000,9.494.733.000,5.717.711.000,3.311.553.000,1.356.884.000,1.954.669.000,"80,00",Nível_2,"76,12",Bens_Industriais,Material_Rodoviário,POMO4
1.666.601.000,4.051.601.000,2.764.000.000,490.177.000,19.371.000.000,5.660.000.000,4.562.000.000,2.385.000.000,2.177.000.000,"100,00",Novo_Mercado,"77,40",Consumo_não_Cíclico,Alimentos,PCAR3
8.985.735.000,18.088.305.000,19.373.882.000,993.705.000,86.914.266.000,33.366.538.000,18.090.359.000,9.102.570.000,8.987.789.000,"100,00",Nível_1,"70,19",Materiais_Básicos,Siderurgia,GOAU4
108.672.000,108.665.000,151.852.000,197.585.000,186.882.000,200.000,-,-7.000,7.000,"0,00",Novo_Mercado,"0,00",Materiais_Básicos,Petroquímicos,AZTE3
288.113.000,8.828.113.000,2.089.000.000,95.086.000,32.816.000.000,13.565.000.000,9.741.000.000,8.540.000.000,1.201.000.000,"100,00",Novo_Mercado,"99,75",Consumo_Cíclico,Eletrodomésticos,BHIA3
58.941.017.000,62.070.758.000,18.314.247.000,740.465.000,67.164.304.000,35.959.203.000,10.926.500.000,3.129.741.000,7.796.759.000,"100,00",Novo_Mercado,"99,20",Bens_Industriais,Material_Aeronáutico_e_de_Defesa,EMBR3
34.419.391.000,47.156.417.000,26.272.206.000,2.982.810.000,60.240.753.000,16.146.351.000,18.795.043.000,12.737.026.000,6.058.017.000,"100,00",Nível_2,"100,00",Utilidade_Pública,Energia_Elétrica,CPLE6
154.255.274.000,154.255.274.000,174.053.985.000,10.592.012.000,2.147.570.089.000,1.740.446.958.000,,,222.829.387.000,"100,00",Nível_1,"62,16",Financeiro,Bancos,BBDC3
57.735.000,-812.446.000,-147.834.000,74.020.000,1.458.321.000,714.296.000,-798.600.000,-870.182.000,71.582.000,"100,00",Nível_1,"82,23",Telecomunicações,Telecomunicações,IFCM3
26.217.825.000,25.904.103.000,4.799.781.000,599.401.000,8.685.594.000,2.921.709.000,1.629.318.000,-313.722.000,1.943.040.000,"100,00",Novo_Mercado,"87,53",Tecnologia_da_Informação,Programas_e_Serviços,TOTS3
18.265.289.000,61.600.716.000,2.816.466.000,857.928.000,135.354.346.000,50.053.643.000,63.574.855.000,43.335.427.000,20.239.428.000,"100,00",Novo_Mercado,"33,58",Consumo_não_Cíclico,Carnes_e_Derivados,MRFG3
22.615.437.000,52.321.904.000,8.626.516.000,6.179.682.000,57.473.164.000,12.994.752.000,36.176.768.000,29.706.467.000,6.470.301.000,"100,00",Nível_2,"63,92",Materiais_Básicos,Papel_e_Celulose,KLBN11
94.112.923.000,134.324.458.000,121.494.065.000,2.307.099.000,282.016.140.000,57.375.976.000,71.063.585.000,40.211.535.000,30.852.050.000,"80,00",Nível_1,"97,35",Utilidade_Pública,Energia_Elétrica,ELET3
436.407.170.000,762.683.170.000,395.841.000.000,12.888.732.000,1.147.716.000.000,124.853.000.000,370.314.000.000,326.276.000.000,44.038.000.000,"100,00",Nível_2,"60,70","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",PETR3
2.729.773.000,6.358.559.000,949.871.000,760.382.000,6.263.774.000,1.598.448.000,4.026.000.000,3.628.786.000,397.214.000,"100,00",Novo_Mercado,"99,93",Bens_Industriais,Transporte_Hidroviário,HBSA3
67.200.000.000,60.744.868.000,11.661.962.000,2.000.000.000,18.524.267.000,7.793.681.000,-,-6.455.132.000,6.455.132.000,"100,00",Novo_Mercado,"31,87",Financeiro,Seguradoras,BBSE3
