Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"0,55","-61,54","-0,39","0,14","0,00",AZEV4,"0,67","0,00","-171,21","2,51","-159,37","-135,38","-1,13","-0,96","-0,49","-0,42","0,08","-0,50","-0,09","3,84","-1,41","0,12","-36,63","-37,00","-20,04","0,19","-0,64","-0,54","0,20","0,55","0,45","0,44","47,52",,102.303.000,235.453.000,718.475.000,187.167.000,1.312.938.000,163.831.000,144.082.000,133.150.000,10.932.000,"0,00",Tradicional,"59,66",Bens_Industriais,Construção_Pesada,https://investidor10.com.br/storage/companies/684083f5071cf.jpg
"24,94","39,50","7,00","0,86","3,34",NEOE3,"0,60","23,29","8,62","27,16","20,03","25,94","5,79","7,50","2,33","3,01","0,27","9,92","-0,34","29,02","3,56","0,45","12,28","11,41","3,93","1,28","3,46","4,49","1,44","0,32","0,68","1,17","9,42","8,42",30.272.103.000,75.358.103.000,35.221.000.000,1.213.797.000,110.816.000.000,21.358.000.000,50.695.000.000,45.086.000.000,5.609.000.000,"100,00",Novo_Mercado,"16,07",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66cca281b61a3.jpg
"5,61","-21,19","17,85","0,67","0,96",DXCO3,"0,56","91,24","3,14","28,62","12,03","26,75","4,39","9,77","2,10","4,67","0,26","3,52","-0,35","8,38","0,31","0,46","3,75","6,70","1,49","0,73","2,29","5,10","0,95","0,38","0,60","1,37","6,88","-10,00",4.603.376.000,9.637.626.000,6.872.730.000,820.566.000,17.981.843.000,4.807.342.000,6.522.562.000,5.034.250.000,1.488.312.000,"100,00",Novo_Mercado,"36,77",Materiais_Básicos,Madeira,https://investidor10.com.br/storage/companies/66db25389335d.jpg
"5,18","-91,65","0,14","0,23","0,00",AMER3,"0,08","0,00","53,38","31,43","-5,72","1,62","9,01","-2,55","4,67","-1,32","0,06","0,44","-0,10","22,35","36,62","0,79","163,84","-77,75","42,19","0,22","4,34","-1,23","0,41","0,26","0,74","1,49","6,29",,1.037.258.000,2.001.258.000,4.475.000.000,200.243.000,17.377.000.000,7.141.000.000,1.827.000.000,964.000.000,863.000.000,"0,10",Nível_1,"69,88",Consumo_Cíclico,Produtos_Diversos,https://investidor10.com.br/storage/companies/611c25535b024.jpg
"5,00","-7,85","6,36","1,15","9,61",GRND3,"1,70","61,49","26,72","47,65","19,36","22,38","5,21","6,03","7,60","8,78","0,96","1,80","-3,12","4,36","0,79","0,57","18,02","10,42","15,15","-0,36","-2,38","-2,75","0,05","0,84","0,16","4,47","6,94","11,84",4.510.800.000,3.095.778.000,3.934.738.000,902.160.000,4.678.426.000,3.230.536.000,198.833.000,-1.415.022.000,1.613.855.000,"100,00",Novo_Mercado,"29,67",Consumo_Cíclico,Calçados,https://investidor10.com.br/storage/companies/64ee626cb2710.jpg
"6,87","-10,55","6,33","1,27","4,58",ECOR3,"0,46","0,00","7,21","39,40","35,59","46,76","5,05","6,63","0,98","1,28","0,15","-2,95","-0,17","5,43","1,08","0,32","19,99","11,11","2,26","5,28","4,07","5,35","6,06","0,12","0,88","0,72","21,24",,4.783.816.000,24.714.691.000,3.777.957.000,696.334.000,32.690.853.000,4.228.476.000,22.912.406.000,19.930.875.000,2.981.531.000,"100,00",Novo_Mercado,"47,92",Bens_Industriais,Exploração_de_Rodovias,https://investidor10.com.br/storage/companies/68824c90f0fa6.png
"0,52","-87,59","0,01","-0,01","0,00",OIBR3,"0,10","0,00","847,38","-103,32","-68,99","-24,65","-24,53","-8,77","-0,42","-0,15","0,01","-0,07","-0,01","-44,41","42,57","0,08","-95,87","34,45","71,55","-0,67","-24,08","-8,61","-0,77","-0,75","1,74","0,70","-29,14",,182.562.000,10.030.618.000,-14.660.023.000,330.121.000,19.644.491.000,5.242.607.000,11.291.004.000,9.848.056.000,1.442.948.000,"100,00",Nível_1,"90,04",Telecomunicações,Telecomunicações,https://investidor10.com.br/storage/companies/66db00a85b7d3.jpg
"4,60","-5,93","16,57","0,70","0,00",CBAV3,"0,34","0,00","2,05","13,69","11,48","19,12","3,56","5,92","1,78","2,96","0,22","1,65","-0,33","6,57","0,28","0,66","4,22","10,31","2,18","0,70","1,78","2,97","0,90","0,32","1,54","1,77",,,2.994.934.000,5.999.240.000,4.280.661.000,651.072.000,13.359.765.000,4.185.283.000,3.862.000.000,3.004.306.000,857.694.000,"100,00",Nível_1,"31,40",Bens_Industriais,Máquinas_e_Equipamentos_Industriais,https://investidor10.com.br/storage/companies/60bf873780a78.jpg
"26,28","-1,61","7,99","0,81","6,75",SANB11,"0,66","48,86","8,27","36,44","11,31","0,00",,"5,84",,"5,84","0,08","-0,12","-0,10","32,61","3,29","0,12","10,09","10,85","1,01",,,,,"0,10","0,95","0,24","19,14","-1,49",98.478.626.000,98.478.626.000,122.271.222.000,7.498.531.000,1.240.333.567.000,264.400.814.000,,,24.371.817.000,"100,00",Nível_1,"9,88",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66cc9b5c46f92.jpg
"7,35","7,04","11,64","1,62","2,93",GMAT3,"0,49","30,67","4,22","22,79","6,75","7,89","6,46","7,56","6,23","7,28","0,81","2,21","-2,16","4,53","0,63","1,64","13,93","16,74","7,02","0,06","0,24","0,28","0,21","0,50","0,50","2,40","21,67","14,24",16.238.693.000,16.853.217.000,10.013.577.000,2.209.346.000,20.115.820.000,12.583.299.000,2.135.075.000,614.524.000,1.520.551.000,"100,00",Novo_Mercado,"21,00",Consumo_não_Cíclico,Produtos_Diversos,https://investidor10.com.br/storage/companies/66db01374f06e.jpg
"53,43","87,50","12,22","2,49","4,50",PSSA3,"0,95","35,25","7,79","100,00","8,76","9,92","6,84","7,75","9,60","10,87","0,70","11,06","-1,57","21,43","4,37","0,73","20,39","13,65","5,81","-0,72","-2,76","-3,13","0,00","0,28","0,72","1,13","14,27","11,23",34.547.093.000,24.616.312.000,13.856.821.000,646.586.000,49.466.824.000,27.417.261.000,-,-9.930.781.000,9.930.781.000,"100,00",Novo_Mercado,"28,23",Financeiro,Seguradoras,https://investidor10.com.br/storage/companies/66cc96cd93f1c.jpg
"2,45","-39,80","-5,63","0,89","4,88",LJQQ3,"0,17","-28,05","-3,09","34,32","1,70","6,59","3,57","13,88","2,64","10,24","0,14","0,58","-0,46","2,75","-0,44","0,80","-15,84","2,20","-2,47","0,32","0,94","3,63","0,93","0,16","0,84","1,54","11,14",,477.928.000,647.395.000,536.003.000,195.072.000,3.430.223.000,2.380.561.000,500.000.000,169.467.000,330.533.000,"100,00",Novo_Mercado,"95,63",Consumo_não_Cíclico,Produtos_Diversos,https://investidor10.com.br/storage/companies/6840843964d31.jpg
"22,31","70,95","14,65","2,53","0,77",TEND3,"0,81","11,20","5,51","28,78","10,02","12,10","7,75","9,35","6,67","8,05","0,53","2,07","-1,31","8,80","1,52","0,66","17,30","14,78","3,37","0,41","1,08","1,30","0,95","0,21","0,78","1,77","8,33","-2,83",2.746.232.000,3.190.432.000,1.083.724.000,123.094.000,5.138.526.000,3.037.846.000,1.025.701.000,444.200.000,581.501.000,"100,00",Novo_Mercado,"98,69",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/5eb1de0700bb5.jpeg
"3,63","-13,63","12,42","2,60","6,44",KLBN4,"1,12","80,18","9,00","36,72","22,03","32,54","8,01","11,83","3,43","5,07","0,39","3,53","-0,50","1,40","0,29","0,35","20,94","9,02","3,54","3,44","4,55","6,72","4,19","0,15","0,80","1,96","10,93",,22.615.437.000,52.321.904.000,8.626.516.000,6.179.682.000,57.473.164.000,12.994.752.000,36.176.768.000,29.706.467.000,6.470.301.000,"100,00",Nível_2,"63,92",Materiais_Básicos,Papel_e_Celulose,https://investidor10.com.br/storage/companies/66ad48f2d9336.jpg
"18,06","1,80","10,72","1,63","3,01",SLCE3,"0,93","32,42","8,64","31,67","21,76","25,45","5,94","6,95","3,64","4,26","0,46","3,41","-0,82","11,08","1,69","0,49","15,21","15,17","4,37","1,03","2,30","2,69","1,29","0,28","0,71","1,44","17,42","8,36",8.006.534.000,13.074.065.000,4.911.402.000,443.329.000,17.469.088.000,7.722.953.000,6.320.928.000,5.067.531.000,1.253.397.000,"100,00",Novo_Mercado,"43,81",Consumo_não_Cíclico,Agricultura,https://investidor10.com.br/storage/companies/66db26016db72.jpg
"35,16","-30,17","18,79","0,93","1,63",AZZA3,"0,73","30,73","3,86","53,73","5,52","10,74","8,74","17,01","6,76","13,14","0,47","2,92","-0,88","37,80","1,87","0,65","4,95","2,66","2,51","0,27","1,99","3,87","0,42","0,51","0,49","1,55","44,45","51,27",7.260.181.000,9.396.747.000,7.804.357.000,206.489.000,15.343.081.000,7.051.622.000,3.239.938.000,2.136.566.000,1.103.372.000,"100,00",Novo_Mercado,"56,14",Consumo_Cíclico,"Tecidos,_Vestuário_e_Calçados",https://investidor10.com.br/storage/companies/66abbf37bd877.jpg
"2,84","35,76","6,66","0,26","3,54",HBOR3,"0,30","23,71","4,48","33,62","17,68","20,23","7,27","8,32","1,48","1,69","0,06","0,41","-0,10","10,91","0,43","0,20","3,91","6,20","2,59","1,02","5,80","6,64","1,18","0,23","0,56","1,61","5,52","21,70",380.137.000,1.874.527.000,1.459.721.000,133.851.000,6.384.577.000,2.460.163.000,1.720.374.000,1.494.390.000,225.984.000,"100,00",Novo_Mercado,"49,01",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/675755314bad5.png
"7,02","-30,29","7,31","1,77","9,30",KEPL3,"0,80","68,16","10,90","28,03","15,90","18,38","4,15","4,79","4,33","5,01","0,83","2,51","-2,45","3,97","0,96","1,05","24,17","17,24","11,39","-0,08","-0,19","-0,22","0,42","0,47","0,53","2,01","18,74","20,60",1.261.635.000,1.207.030.000,714.159.000,179.720.000,1.515.404.000,1.001.352.000,302.219.000,-54.605.000,356.824.000,"100,00",Novo_Mercado,"98,19",Bens_Industriais,Máquinas_e_Equipamentos_Industriais,https://investidor10.com.br/storage/companies/66d9ad48932fb.jpg
"45,30","58,12","5,30","0,73","0,00",IRBR3,"0,62","0,00","11,72","12,67","12,90","0,00",,"-1,13",,"4,82","0,23","2,37","-0,37","61,84","8,55","0,37","13,82","8,82","4,38","-0,90",,"-5,94","0,00","0,32","0,68","1,36","-6,70",,3.726.514.000,-873.311.000,5.087.451.000,82.263.000,16.043.592.000,6.005.464.000,-,-4.599.826.000,4.599.826.000,"100,00",Novo_Mercado,"99,48",Financeiro,Seguradoras,https://investidor10.com.br/storage/companies/66db008f0bcc8.jpg
"10,89","-25,75","4,70","0,91","5,00",SBFG3,"0,37","23,65","7,85","49,30","8,35","11,37","5,48","7,45","3,24","4,41","0,31","1,87","-0,64","11,91","2,32","0,85","19,46","10,87","6,69","0,63","2,23","3,04","0,91","0,34","0,66","1,49","24,54",,2.657.301.000,4.487.799.000,2.907.108.000,244.012.000,8.449.215.000,4.318.108.000,2.633.707.000,1.830.498.000,803.209.000,"100,00",Novo_Mercado,"60,31",Consumo_Cíclico,Produtos_Diversos,https://investidor10.com.br/storage/companies/66cc9f10a1da1.jpg
"37,69","70,03","8,88","2,50","6,93",TGMA3,"1,13","60,79","12,68","21,60","17,46","19,10","5,54","6,06","5,89","6,45","1,78","4,94","-3,85","15,05","4,24","1,58","28,20","22,86","20,07","-0,15","-0,36","-0,39","0,20","0,71","0,29","3,03","16,90","30,70",2.487.650.000,2.337.562.000,993.359.000,66.002.000,1.397.078.000,751.456.000,197.063.000,-150.088.000,347.151.000,"100,00",Novo_Mercado,"48,48",Bens_Industriais,Transporte_Rodoviário,https://investidor10.com.br/storage/companies/5eea7f07ace51.jpeg
"45,58","2,05","5,70","1,16","6,30",ENGI11,"0,61","36,25","10,73","24,92","17,38","23,04","6,34","8,41","2,65","3,52","0,27","4,17","-0,35","39,29","8,00","0,44","20,36","10,24","5,78","1,56","3,57","4,73","2,04","0,23","0,71","1,38","10,93","23,01",21.812.699.000,49.891.658.000,17.989.297.000,2.289.424.000,78.311.361.000,18.160.049.000,36.663.576.000,28.078.959.000,8.584.617.000,"100,00",Nível_2,"71,31",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66db014937944.jpg
"5,58","-14,15","-3,76","0,98","0,00",ONCO3,"0,47","0,00","-12,51","31,79","-3,68","1,63","66,12","-29,33","28,77","-12,76","0,27","1,57","-0,44","5,68","-1,48","0,58","-26,14","-4,45","-8,03","1,27","37,34","-16,56","1,82","0,28","0,70","1,81",,,2.943.347.000,6.762.860.000,2.995.772.000,527.481.000,10.825.812.000,4.202.724.000,5.458.349.000,3.819.513.000,1.638.836.000,"100,00",Nível_1,"46,26",Saúde,Medicamentos_e_Outros_Produtos,https://investidor10.com.br/storage/companies/66db252f5d753.jpg
"21,10","-14,09","4,28","0,67","10,93",ISAE4,"1,70","47,90","39,74","39,29","58,41","58,84","5,94","5,98","2,89","2,91","0,32","2,53","-0,37","31,27","4,93","0,19","15,76","12,90","7,52","0,60","2,55","2,57","0,68","0,47","0,52","5,95","17,19","-0,47",16.278.044.000,28.559.837.000,20.601.977.000,658.883.000,43.946.662.000,6.605.421.000,14.112.054.000,12.281.793.000,1.830.261.000,"0,00",Nível_1,"64,18",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/673b2f70c4356.jpg
"1,64","7,51","123,65","0,36","0,34",QUAL3,"0,30","0,00","0,24","84,39","11,21","35,27","2,45","7,70","0,85","2,68","0,11","3,38","-0,18","4,57","0,01","0,35","0,29","5,22","0,28","0,67","1,59","5,02","1,49","0,29","0,70","1,08","-5,24","-49,91",465.783.000,1.336.078.000,1.297.726.000,284.014.000,4.414.629.000,1.768.592.000,1.932.276.000,870.295.000,1.061.981.000,"0,10",Novo_Mercado,"98,05",Saúde,"Serviços_Médicos,_Hospitalares,_Análises_e_Diagnósticos",https://investidor10.com.br/storage/companies/66db00718ffed.jpg
"16,95","-39,50","10,12","0,84","5,33",SMTO3,"0,79","53,87","7,77","24,93","21,19","42,41","4,43","8,88","1,85","3,71","0,26","1,52","-0,36","20,15","1,67","0,33","8,31","8,31","2,56","1,17","2,58","5,16","1,63","0,31","0,69","2,43","10,75","-8,38",5.634.779.000,13.471.662.000,6.699.362.000,332.435.000,21.769.383.000,6.305.241.000,10.919.914.000,7.836.883.000,3.083.031.000,"100,00",Novo_Mercado,"41,10",Consumo_não_Cíclico,Açucar_e_Alcool,https://investidor10.com.br/storage/companies/66d9ad3424cfe.jpg
"39,00","59,60","10,37","3,11","9,51",DIRR3,"1,89","99,16","18,26","37,03","22,20","24,21","8,23","8,97","7,82","8,53","0,64","1,96","-1,14","12,56","3,76","0,34","29,96","17,31","7,07","0,16","0,41","0,44","0,91","0,21","0,78","3,82","18,95","37,96",6.766.500.000,7.117.013.000,2.178.391.000,173.500.000,10.612.250.000,4.685.810.000,1.980.035.000,350.513.000,1.629.522.000,"100,00",Novo_Mercado,"62,51",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/67729b42f0c8e.png
"11,10","31,97","11,25","1,26","6,64",CPLE3,"1,43","79,47","12,73","22,10","19,07","25,37","8,04","10,69","5,64","7,51","0,55","6,29","-0,75","8,81","0,99","0,38","11,20","8,38","4,86","0,48","2,17","2,89","0,72","0,44","0,56","1,48","4,22","-5,60",34.419.391.000,47.156.417.000,26.272.206.000,2.982.810.000,60.240.753.000,16.146.351.000,18.795.043.000,12.737.026.000,6.058.017.000,"100,00",Nível_2,"100,00",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66db019a1b27d.jpg
"33,22","2,95","6,79","1,57","8,19",TAEE11,"2,88","38,26","42,41","63,47","73,57","74,26","7,07","7,14","3,88","3,92","0,54","7,97","-0,64","21,18","4,89","0,19","23,08","15,54","8,01","1,30","3,20","3,23","1,40","0,35","0,65","1,85","2,20","-5,73",11.403.896.000,20.854.872.000,7.297.942.000,1.033.496.000,21.030.240.000,3.119.982.000,10.253.596.000,9.450.976.000,802.620.000,"100,00",Nível_2,"63,44",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/682343dd0d259.png
"6,03","43,57","0,97","0,40","0,00",LIGT3,"0,15","0,00","15,41","19,05","8,39","14,65","-0,61","-1,06","1,02","1,78","0,08","0,87","-0,12","15,14","6,23","0,56","41,18","21,97","8,65","-0,64","-1,63","-2,84","0,00","0,21","0,22","1,44","2,89","27,40",2.246.508.000,-1.343.508.000,5.640.000.000,372.555.000,26.841.000.000,8.455.000.000,9.983.000,-3.590.017.000,3.600.000.000,"100,00",Novo_Mercado,"99,81",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66db0062a50fa.jpg
"13,21","-28,11","6,98","0,87","16,44",RECV3,"1,15","115,96","16,42","41,24","29,83","50,69","2,75","4,67","2,26","3,84","0,52","4,13","-0,66","15,21","1,89","0,45","12,43","14,19","7,44","0,19","0,49","0,83","0,42","0,60","0,40","2,47","33,95",,3.876.344.000,4.714.538.000,4.463.790.000,293.440.000,7.454.930.000,1.573.770.000,1.856.030.000,838.194.000,1.017.836.000,"100,00",Nível_1,"93,96","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/66d8b1bc8d813.jpg
"38,09","23,44","8,23","1,97","7,37",CPFE3,"1,02","49,93","12,37","31,69","25,03","30,05","5,26","6,31","3,39","4,07","0,56","-176,23","-0,71","19,31","4,63","0,55","23,97","16,65","7,14","1,09","1,87","2,25","1,27","0,28","0,70","0,99","6,89","8,69",43.889.371.000,68.151.996.000,22.249.251.000,1.152.254.000,78.709.730.000,17.316.554.000,28.310.771.000,24.262.625.000,4.048.146.000,"100,00",Novo_Mercado,"16,29",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66db01a89233f.jpg
"4,10","-39,56","198,83","0,36","6,90",POSI3,"0,17","1.327,52","0,09","24,81","7,10","8,97","4,45","5,62","1,91","2,41","0,14","0,42","-0,40","11,34","0,02","0,81","0,18","7,80","0,19","0,48","2,54","3,21","0,77","0,38","0,62","2,03","9,14","-47,14",581.380.000,1.354.370.000,1.607.654.000,141.800.000,4.215.868.000,2.764.182.000,1.238.391.000,772.990.000,465.401.000,"100,00",Novo_Mercado,"51,71",Tecnologia_da_Informação,Computadores_e_Equipamentos,https://investidor10.com.br/storage/companies/66d9a92875dce.jpg
"14,17","10,59","7,08","0,64","8,27",EZTC3,"1,92","58,44","27,07","35,19","22,74","24,36","8,88","9,51","7,88","8,44","0,45","1,18","-0,80","22,17","2,00","0,23","9,02","5,13","6,74","0,08","1,00","1,07","0,32","0,70","0,28","7,71","11,75","2,49",3.131.415.000,3.529.089.000,4.898.437.000,220.989.000,6.960.771.000,3.042.390.000,1.574.712.000,397.674.000,1.177.038.000,"100,00",Novo_Mercado,"44,05",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/66db257196811.jpg
"12,75","18,87","7,05","3,25","7,49",PLPL3,"0,97","55,65","13,69","32,98","18,04","18,38","5,52","5,63","5,25","5,35","1,04","1,80","-6,90","3,92","1,81","1,08","46,07","30,38","16,86","0,17","0,27","0,27","0,75","0,32","0,65","3,12","15,78","18,36",2.604.264.000,2.737.785.000,801.581.000,204.256.000,2.501.662.000,2.124.254.000,598.315.000,133.521.000,464.794.000,"100,00",Novo_Mercado,"26,62",Financeiro,Intermediação_Imobiliária,https://investidor10.com.br/storage/companies/66db2412b8386.jpg
"1,03","-47,18","-4,51","0,29","0,00",MLAS3,"0,25","0,00","-5,48","23,46","0,41","2,17","14,32","75,27","11,40","59,93","0,16","0,45","-0,49","3,60","-0,23","0,65","-6,35","-1,60","-3,55","0,07","2,92","15,34","0,23","0,56","0,44","2,11",,,845.155.000,1.061.467.000,2.953.431.000,820.539.000,5.278.198.000,3.544.631.000,689.200.000,216.312.000,472.888.000,"100,00",Nível_1,"47,06",Tecnologia_da_Informação,Computadores_e_Equipamentos,https://investidor10.com.br/storage/companies/649dd8ba45975.jpg
"39,92","-4,53","9,68","2,70","5,79",EGIE3,"2,80","35,16","28,94","53,62","55,80","65,68","6,92","8,15","4,27","5,02","0,62","17,17","-0,74","14,81","4,12","0,22","27,84","14,55","6,53","1,68","2,66","3,13","2,14","0,23","0,75","1,27","-1,06","4,25",32.571.835.000,52.837.761.000,12.082.964.000,815.927.000,52.761.221.000,8.806.605.000,25.840.565.000,20.265.926.000,5.574.639.000,"100,00",Novo_Mercado,"31,28",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/688247d7d726f.png
"13,55","30,48","8,51","1,63","1,40",TTEN3,"0,49","11,97","5,82","18,63","8,77","9,49","5,64","6,11","5,21","5,64","0,69","3,40","-1,98","8,33","1,59","1,39","19,11","14,40","8,06","0,13","0,43","0,46","0,53","0,42","0,58","1,45",,,6.751.933.000,7.305.308.000,4.153.036.000,498.297.000,9.833.353.000,6.427.671.000,2.208.259.000,553.375.000,1.654.884.000,"100,00",Nível_1,"22,52",Consumo_não_Cíclico,Agricultura,https://investidor10.com.br/storage/companies/66d232b221a20.jpg
"29,53","43,35","11,94","7,60","4,91",CURY3,"2,00","59,72","16,77","38,82","21,36","22,12","8,78","9,09","9,05","9,37","1,77","5,07","-4,73","3,89","2,47","0,88","63,68","33,89","15,98","-0,23","-0,27","-0,28","1,13","0,23","0,72","2,26","30,33","422,44",8.619.071.000,8.358.076.000,1.133.945.000,291.875.000,4.870.968.000,3.048.558.000,1.282.811.000,-260.995.000,1.543.806.000,"100,00",Novo_Mercado,"43,72",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/67729b01c2f6f.png
"4,97","-16,64","6,67","1,21","7,69",SHUL4,"0,90","53,52","13,43","26,23","14,79","18,31","14,08","17,43","4,89","6,05","0,63","1,45","-1,78","4,11","0,75","0,71","18,15","11,42","9,52","-0,03","-0,13","-0,16","0,57","0,52","0,48","3,10","13,55","13,43",5.158.297.000,5.112.708.000,1.468.255.000,357.374.000,2.797.605.000,1.801.149.000,831.951.000,-45.589.000,877.540.000,"0,00",Tradicional,"56,37",Bens_Industriais,"Motores,_Compressores_e_Outros",https://investidor10.com.br/storage/companies/66d9a90a47b9d.jpg
"1,35","-50,00","-0,89","0,13","0,00",DASA3,"0,07","0,00","-7,38","28,43","7,53","16,41","3,97","8,66","0,40","0,87","0,04","0,20","-0,06","10,38","-1,51","0,55","-14,55","5,00","-4,00","1,16","3,57","7,78","1,61","0,28","0,72","1,92","16,98",,1.016.279.000,10.057.187.000,7.813.960.000,752.799.000,28.261.545.000,10.395.713.000,12.616.450.000,9.040.908.000,3.575.542.000,"0,00",Tradicional,"19,32",Saúde,"Serviços_Médicos,_Hospitalares,_Análises_e_Diagnósticos",https://investidor10.com.br/storage/companies/66db24a8bf568.jpg
"34,20","23,01","4,25","0,86","6,44",SAPR11,"1,49","19,03","34,97","56,21","38,83","47,13","4,63","5,63","3,15","3,83","0,42","9,56","-0,48","39,82","8,05","0,28","20,21","12,62","9,54","0,40","1,45","1,76","0,55","0,48","0,52","1,47","7,70","18,96",10.432.355.000,15.192.974.000,12.036.700.000,1.511.205.000,24.877.802.000,3.383.387.000,6.609.243.000,4.760.619.000,1.848.624.000,"100,00",Nível_2,"79,97",Utilidade_Pública,Água_e_Saneamento,https://investidor10.com.br/storage/companies/66d9ad202d185.jpg
"12,61","18,64","12,39","5,11","7,51",ODPV3,"3,01","138,30","24,29","35,93","31,61","33,86","8,25","8,84","8,89","9,52","3,12","-62,31","-4,31","2,47","1,02","1,04","41,21","36,23","25,14","-0,36","-0,64","-0,68","0,00","0,61","0,39","0,85","5,57","9,33",6.966.970.000,6.469.080.000,1.364.464.000,552.495.000,2.235.903.000,618.940.000,-,-497.890.000,497.890.000,"100,00",Novo_Mercado,"45,96",Saúde,"Serviços_Médicos,_Hospitalares,_Análises_e_Diagnósticos",https://investidor10.com.br/storage/companies/66cc97d80d31f.jpg
"10,82","3,52","5,77","0,42","10,15",BRSR6,"0,25","58,41","4,30","31,86","4,41","0,00",,"5,82",,"5,62","0,03","7,72","-0,03","25,84","1,88","0,12","7,26","7,26","0,51",,,,,"0,07","0,93","1,33","16,76","1,07",4.581.886.000,4.581.886.000,10.568.980.000,408.974.000,151.511.198.000,2.298.020.000,,,2.298.015.000,"100,00",Nível_1,"50,61",Financeiro,Bancos,https://investidor10.com.br/storage/companies/649ca5d54538a.jpg
"1,07","-51,36","-0,23","0,18","0,00",VVEO3,"0,03","-2,98","-12,93","11,34","-6,10","-4,75","-7,24","-5,64","-0,64","-0,50","0,04","0,15","-0,08","5,79","-4,58","1,22","-79,07","-12,35","-15,77","1,92","-6,61","-5,14","2,39","0,20","0,80","1,85",,,345.418.000,3.931.403.000,1.868.631.000,322.820.000,9.371.027.000,5.160.115.000,4.470.200.000,3.585.985.000,884.215.000,"100,00",Nível_1,"56,46",Saúde,"Serviços_Médicos,_Hospitalares,_Análises_e_Diagnósticos",https://investidor10.com.br/storage/companies/66cc8a26ee224.jpg
"6,66","64,09","1,82","0,93","49,64",SYNE3,"0,76","191,66","42,00","41,40","61,01","66,35","1,49","1,62","1,15","1,25","0,32","1,04","-0,51","7,15","3,66","0,42","51,13","33,09","21,18","0,27","0,34","0,37","0,80","0,34","0,41","5,43","22,27","39,28",1.016.612.000,1.313.804.000,1.091.945.000,152.644.000,3.168.438.000,1.194.069.000,877.845.000,297.192.000,580.653.000,"100,00",Novo_Mercado,"22,82",Financeiro,Exploração_de_Imóveis,https://investidor10.com.br/storage/companies/66d8d5b06b7a3.jpg
"7,81","2,82","4,84","1,32","8,77",RANI3,"1,11","41,08","22,92","41,62","25,61","37,01","4,85","7,01","3,00","4,34","0,50","2,23","-0,74","5,93","1,61","0,45","27,20","10,45","10,26","0,81","1,85","2,67","1,25","0,38","0,62","3,08","10,38","33,05",1.873.071.000,3.028.053.000,1.422.134.000,239.829.000,3.768.111.000,1.243.755.000,1.782.087.000,1.154.982.000,627.105.000,"100,00",Tradicional,"44,27",Materiais_Básicos,Papel_e_Celulose,https://investidor10.com.br/storage/companies/647fbc819194a.jpg
"4,56","-22,45","9,92","0,24","0,00",USIM3,"0,21","0,00","2,15","8,21","3,61","8,28","3,40","7,79","2,58","5,90","0,14","0,42","-0,25","19,37","0,46","0,66","2,37","2,54","1,31","0,04","0,42","0,96","0,32","0,60","0,33","4,16","10,73","-16,26",6.612.462.000,7.542.594.000,24.277.714.000,1.253.079.000,40.655.884.000,18.064.823.000,7.674.093.000,930.132.000,6.743.961.000,"80,00",Nível_1,"53,95",Materiais_Básicos,Siderurgia,https://investidor10.com.br/storage/companies/66cc984b13166.jpg
