Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
EGAF11;Indefinido;92,67;440.925,48;1,42;1,50 ;4,65 ;9,18 ;18,60 ;1,55 ;1,53 ;1,55 ;14,14 ;1,59 ;3,11 ;41,36 ;310.835.558,50;310.835.558,50;0,00;0,00 ;0,00 ;0,00 ;0,00 ;0;12,72;11.430
EMET11;Misto;10,14;326.248,64;0,10;1,05 ;1,05 ;1,05 ;1,05 ;1,05 ;1,05 ;1,05 ;1,05 ;0,00 ;0,00 ;;50.847.381,65;;;;;;;14;39,23;53
ENDD11;Indefinido;106,01;242.101,91;0,16;0,16 ;0,16 ;0,16 ;5,35 ;0,16 ;0,16 ;0,45 ;0,16 ;9,99 ;10,17 ;10,17 ;;;;;;;;0;17,13;0
EQIA11;Fiagro;;;0,45;;;;;;;;;;;;;;;;;;;0;;0
EQIR11;Indefinido;7,90;134.235,52;0,10;1,29 ;3,94 ;7,98 ;16,05 ;1,31 ;1,33 ;1,34 ;10,83 ;-0,90 ;0,38 ;34,25 ;103.513.574,51;9,49;0,83;1,11 ;-2,77 ;-1,68 ;-89,69 ;14;15,90;10.046
ERCR11;Varejo;15.707,85;;2.558,14;0,00 ;0,00 ;0,00 ;16,74 ;0,00 ;0,00 ;1,40 ;0,93 ;0,00 ;0,00 ;;41.593.835,11;17.505,82;0,90;4,07 ;-73,69 ;-72,62 ;-70,95 ;14;12,50;10
ERPA11;Lajes Corporativas;125,89;87.959,75;0,94;0,75 ;1,48 ;3,54 ;6,69 ;0,49 ;0,59 ;0,56 ;4,78 ;-1,53 ;-0,79 ;-1,22 ;79.892.902,91;159,49;0,79;0,59 ;16,36 ;17,04 ;43,99 ;2;46,79;621
ESUD11;Indefinido;315,99;1.579,95;72,93;23,08 ;0,00 ;0,00 ;23,08 ;0,00 ;0,00 ;5,77 ;23,08 ;0,00 ;0,00 ;;;;;;;;;0;26,87;0
ESUT11;Indefinido;32,00;609,52;67,49;210,90 ;0,00 ;0,00 ;210,90 ;0,00 ;0,00 ;52,73 ;210,90 ;0,00 ;0,00 ;;;;;;;;;0;9,96;0
ESUU11;Indefinido;32,00;3.200,00;63,84;199,49 ;0,00 ;0,00 ;199,49 ;0,00 ;0,00 ;49,87 ;199,49 ;0,00 ;0,00 ;;;;;;;;;0;10,03;0
EURO11;Imóveis Industriais e Logísticos;242,01;45.180,61;2,00;0,87 ;2,51 ;5,12 ;10,55 ;0,84 ;0,85 ;0,88 ;7,88 ;-8,78 ;-7,98 ;19,76 ;126.643.041,61;329,85;0,73;0,60 ;1,58 ;2,18 ;13,83 ;7;28,80;2.065
EVBI11;renda urbana;9,50;32.194,42;0,11;1,05 ;2,88 ;5,14 ;9,85 ;0,96 ;0,86 ;0,82 ;9,85 ;5,74 ;6,85 ;23,48 ;411.540.046,98;9,86;0,96;0,96 ;-90,11 ;-90,02 ;-89,22 ;13;14,99;1.313
EXES11;Indefinido;9,91;7.436,65;0,13;1,38 ;4,23 ;8,62 ;16,70 ;1,41 ;1,44 ;1,39 ;11,47 ;2,84 ;4,26 ;31,18 ;68.581.134,88;;;;;;;14;15,58;760
FAED11;Educacional;144,41;47.390,30;1,66;1,16 ;3,57 ;7,36 ;14,91 ;1,19 ;1,23 ;1,24 ;9,95 ;-0,84 ;0,32 ;28,69 ;153.672.554,72;221,95;0,65;0,79 ;1,99 ;2,79 ;9,39 ;4;19,75;4.168
FAMB11B;Lajes Corporativas;609,99;47.041,93;1.001,61;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;424.524.340,32;3.593,26;0,17;0,25 ;0,53 ;0,79 ;12,82 ;1;47,01;2.173
FAOE11;Indefinido;926,90;;11,16;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;;;;;;;3;;8.102
FATN11;Lajes Corporativas;82,47;1.049.461,57;0,80;0,98 ;3,11 ;6,43 ;12,99 ;1,04 ;1,07 ;1,08 ;8,70 ;9,36 ;10,43 ;19,61 ;458.571.343,38;98,42;0,84;0,81 ;-0,60 ;0,21 ;5,68 ;54;9,86;20.992
FCFL11;Educacional;125,22;249.428,96;0,89;0,71 ;2,16 ;4,50 ;9,48 ;0,72 ;0,75 ;0,79 ;6,21 ;1,28 ;2,00 ;30,77 ;428.015.265,46;123,20;1,02;0,73 ;6,05 ;6,83 ;25,93 ;1;16,85;3.059
FEXC11;Papéis;83,50;860.137,12;0,50;0,00 ;1,08 ;4,14 ;11,48 ;0,36 ;0,69 ;0,96 ;0,00 ;0,00 ;0,00 ;;1.001.470.167,13;90,75;0,92;0,99 ;-1,13 ;-0,15 ;7,12 ;0;14,57;36.232
FGAA11;Indefinido;8,69;909.314,17;0,12;1,40 ;4,22 ;7,06 ;14,80 ;1,41 ;1,18 ;1,23 ;14,80 ;0,35 ;1,76 ;51,28 ;423.677.987,49;9,40;0,92;0,64 ;0,00 ;0,00 ;0,00 ;0;13,28;50.225
FIGS11;Shoppings;46,72;126.645,57;0,48;1,01 ;3,07 ;6,12 ;12,05 ;1,02 ;1,02 ;1,00 ;9,24 ;-1,27 ;-0,27 ;16,25 ;217.378.624,05;76,27;0,61;0,63 ;-0,27 ;0,35 ;-19,27 ;2;17,33;11.976
FIIB11;Imóveis Industriais e Logísticos;509,89;167.223,87;3,58;0,70 ;2,21 ;4,58 ;9,40 ;0,74 ;0,76 ;0,78 ;6,97 ;0,84 ;1,54 ;18,46 ;325.711.119,73;475,49;1,07;0,84 ;3,03 ;3,90 ;14,25 ;9;12,68;15.325
FIIP11B;Imóveis Industriais e Logísticos;161,37;1.172,80;1,40;0,96 ;2,95 ;5,92 ;10,89 ;0,98 ;0,99 ;0,91 ;4,03 ;-1,78 ;-0,84 ;6,81 ;184.360.354,72;198,84;0,81;0,70 ;6,81 ;7,56 ;8,46 ;7;11,96;6.586
FISC11;Lajes Corporativas;68,90;597,55;0,50;0,00 ;1,55 ;4,00 ;8,74 ;0,52 ;0,67 ;0,73 ;5,54 ;0,00 ;0,00 ;;193.436.827,13;113,79;0,61;0,43 ;-1,10 ;-0,68 ;-0,19 ;5;96,39;220
FLCR11;Papéis;94,99;103.850,96;1,05;1,10 ;3,83 ;7,50 ;15,89 ;1,28 ;1,25 ;1,32 ;10,52 ;1,59 ;2,71 ;22,72 ;70.133.879,39;93,28;1,02;1,50 ;-5,22 ;-3,80 ;5,80 ;1;9,12;3.024
FLFL11;Fundo de Desenvolvimento;;;0,18;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;476.994.955,71;;;;;;;1;;1
FLMA11;Lajes Corporativas;138,05;83.920,09;1,02;0,77 ;2,60 ;4,79 ;10,01 ;0,87 ;0,80 ;0,83 ;6,49 ;-0,36 ;0,41 ;13,39 ;304.634.612,00;220,64;0,63;0,49 ;37,68 ;38,36 ;51,01 ;2;21,50;12.098
FLRP11;Shoppings;20,35;18.706,61;0,14;0,70 ;2,77 ;4,95 ;9,43 ;0,92 ;0,83 ;0,79 ;7,31 ;-2,63 ;-1,94 ;21,65 ;150.432.515,53;20,33;1,00;1,43 ;-98,89 ;-98,87 ;-98,74 ;1;54,61;1.566
FMOF11;Lajes Corporativas;76,05;1.731.917,87;0,41;0,53 ;1,77 ;3,63 ;7,05 ;0,59 ;0,61 ;0,59 ;7,05 ;3,12 ;3,67 ;64,06 ;58.938.615,10;116,02;0,66;0,44 ;-2,17 ;-1,74 ;-4,80 ;2;77,28;221
FPAB11;Lajes Corporativas;207,00;6.163,35;1,35;0,57 ;1,26 ;3,48 ;7,02 ;0,42 ;0,58 ;0,59 ;4,96 ;22,05 ;22,75 ;16,40 ;267.840.260,25;357,12;0,58;0,38 ;-4,77 ;-4,41 ;-8,30 ;3;75,98;705
FPOR11;Indefinido;21,93;220,00;0,07;0,00 ;0,18 ;0,18 ;0,18 ;0,18 ;0,18 ;0,18 ;0,18 ;0,00 ;0,00 ;;;;;;;;;0;147,12;0
FRHY11;Indefinido;;;1,03;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;2.167.937,93;;;;;;;14;;7
FTCA11;Indefinido;8,54;41.805,30;0,13;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;47.308.757,12;10,61;0,80;1,13 ;0,00 ;0,00 ;0,00 ;0;21,80;7.706
FVPQ11;Shoppings;67,00;31.136,43;0,05;0,07 ;2,37 ;6,11 ;11,96 ;0,79 ;1,02 ;1,00 ;9,88 ;2,37 ;2,45 ;81,83 ;436.452.649,82;155,87;0,43;0,50 ;-18,93 ;-18,53 ;-17,17 ;1;30,03;3.938
FYTO11;Papéis;8,07;139.758,48;0,10;1,27 ;3,95 ;7,83 ;15,40 ;1,32 ;1,31 ;1,28 ;10,55 ;-4,59 ;-3,38 ;18,87 ;148.545.762,24;;;;;;;0;17,96;10.876
FZDA11;Indefinido;130,01;2.920,45;4,11;3,40 ;0,00 ;3,40 ;3,40 ;0,00 ;1,70 ;1,70 ;3,40 ;-0,69 ;2,69 ;2,69 ;281.164.347,80;173,55;0,75;2,37 ;0,00 ;0,00 ;0,00 ;0;70,92;306
FZDB11;Indefinido;136,38;32.510,57;4,21;3,32 ;0,00 ;3,32 ;3,32 ;0,00 ;3,32 ;3,32 ;3,32 ;21,43 ;25,46 ;25,46 ;642.474.088,61;168,93;0,81;2,49 ;0,00 ;0,00 ;0,00 ;0;42,63;115
GAME11;Indefinido;8,49;73.057,43;0,10;1,13 ;3,40 ;6,96 ;13,92 ;1,13 ;1,16 ;1,16 ;9,36 ;-1,18 ;-0,06 ;20,84 ;201.973.096,77;9,31;0,91;1,02 ;-5,39 ;-4,42 ;-98,88 ;14;13,08;21.864
GARE11;Imóveis Industriais e Logísticos;9,01;8.111.718,65;0,08;0,92 ;2,79 ;5,72 ;12,47 ;0,93 ;0,95 ;1,04 ;9,12 ;1,35 ;2,28 ;21,31 ;1.325.953.871,67;;;;;;;4;14,43;390.202
GCFF11;Fundo de Fundos;69,30;87.694,83;3,07;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;4,27 ;0,00 ;0,00 ;;118.155.565,38;77,31;0,90;0,97 ;-5,00 ;-4,08 ;-7,97 ;1;1,15;8.102
GCOI11;Indefinido;98,90;10.879,00;0,81;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;10.863.863,97;;;;;;;5;3,39;302
GCRA11;Indefinido;52,01;127.596,04;0,66;1,31 ;3,97 ;8,07 ;16,63 ;1,32 ;1,35 ;1,39 ;11,03 ;0,10 ;1,41 ;48,89 ;148.803.585,71;84,99;0,61;0,78 ;-13,27 ;-12,60 ;-1,47 ;0;24,15;7.343
GCRI11;Papéis;64,29;112.465,87;0,85;1,34 ;4,05 ;8,46 ;17,82 ;1,35 ;1,41 ;1,49 ;11,70 ;-3,95 ;-2,66 ;33,84 ;130.306.527,78;89,63;0,72;0,97 ;-5,02 ;-4,10 ;-2,05 ;14;18,82;4.378
GESE11B;Educacional;1.520,00;;1.112,72;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;1.119,08;1,36;104,32 ;-36,85 ;29,02 ;33,17 ;14;;8.102
GGRC11;Imóveis Industriais e Logísticos;9,70;3.831.113,70;0,10;1,01 ;3,10 ;6,22 ;12,68 ;1,03 ;1,04 ;1,06 ;9,47 ;1,96 ;2,99 ;17,47 ;1.685.014.935,35;11,05;0,88;0,95 ;-91,12 ;-91,03 ;-90,79 ;41;12,96;185.954
GLOG11;Imóveis Industriais e Logísticos;64,34;27.127,64;0,41;0,62 ;1,92 ;4,08 ;9,57 ;0,64 ;0,68 ;0,80 ;6,79 ;3,37 ;4,01 ;32,60 ;81.538.693,94;;;;;;;1;26,11;1.967
GRUL11;Logística;7,85;333.291,09;0,08;0,98 ;3,70 ;7,83 ;15,74 ;1,23 ;1,31 ;1,57 ;12,77 ;2,01 ;3,00 ;30,51 ;236.632.519,15;;;;;;;1;33,88;5.263
GRWA11;Indefinido;7,70;9.370,70;0,06;0,77 ;2,29 ;5,30 ;12,85 ;0,76 ;0,88 ;1,07 ;7,79 ;-2,37 ;-1,61 ;9,03 ;27.662.546,19;10,03;0,77;0,60 ;0,00 ;0,00 ;0,00 ;0;33,43;2.235
GSFI11;Shoppings;9,17;2.171.878,61;0,00;0,03 ;0,03 ;0,03 ;0,03 ;0,01 ;0,00 ;0,00 ;0,03 ;0,00 ;0,03 ;0,03 ;1.260.137.088,59;11,90;0,77;0,01 ;0,01 ;0,02 ;0,02 ;9;16,59;6.407
GTLG11;Imóveis Industriais e Logísticos;63,99;22.885,25;60,62;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;37,59 ;0,00 ;0,00 ;;118.155.565,38;60,62;1,06;100,00 ;-35,83 ;28,33 ;35,22 ;1;34,61;8.102
GTWR11;Lajes Corporativas;75,55;756.587,43;0,90;1,18 ;3,52 ;7,14 ;14,57 ;1,17 ;1,19 ;1,21 ;11,04 ;1,93 ;3,14 ;30,07 ;1.197.356.381,10;99,78;0,76;0,87 ;5,36 ;6,28 ;11,89 ;3;13,17;35.639
GURB11;Indefinido;108,00;5.000.076,00;0,70;0,65 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,65 ;0,00 ;0,00 ;;144.707.018,00;;;;;;;2;1,17;1
GZIT11;Indefinido;44,15;491.275,91;0,78;1,81 ;5,31 ;10,52 ;22,65 ;1,77 ;1,75 ;1,89 ;14,78 ;-2,42 ;-0,65 ;43,38 ;1.979.152.353,93;;;;;;;6;29,58;7.214
HAAA11;Lajes Corporativas;48,03;3.999,47;0,08;0,16 ;1,21 ;2,05 ;4,92 ;0,40 ;0,34 ;0,41 ;4,20 ;-1,49 ;-1,33 ;63,60 ;229.763.993,67;66,50;0,72;0,66 ;-25,83 ;-25,34 ;-24,14 ;2;74,74;225
HABT11;Papéis;77,74;823.328,83;1,05;1,33 ;4,05 ;8,21 ;17,03 ;1,35 ;1,37 ;1,42 ;12,91 ;-2,92 ;-1,63 ;33,96 ;761.613.418,42;93,72;0,83;1,23 ;-6,07 ;-4,92 ;11,32 ;14;16,43;61.302
HBCR11;Indefinido;130,00;8.457.610,00;0,57;0,00 ;0,00 ;1,33 ;10,62 ;0,00 ;0,22 ;0,89 ;8,32 ;0,00 ;0,00 ;;199.155.774,66;;;;;;;3;78,73;36
HBRH11;Lajes Corporativas;90,80;14.627,00;0,50;0,55 ;1,65 ;6,85 ;9,22 ;0,55 ;1,14 ;0,77 ;9,22 ;1,00 ;1,56 ;2,46 ;316.852.348,31;112,23;0,81;0,45 ;-0,86 ;-0,42 ;7,60 ;5;13,98;720
HCHG11;Papéis;74,48;24.320,32;0,65;0,82 ;2,87 ;6,42 ;14,46 ;0,96 ;1,07 ;1,21 ;10,57 ;1,14 ;1,97 ;38,81 ;112.219.128,41;93,52;0,80;0,94 ;-7,52 ;-6,65 ;7,81 ;14;39,34;610
HCRA11;Indefinido;10,22;0,83;14,85;145,30 ;0,00 ;148,99 ;241,63 ;0,00 ;24,83 ;20,14 ;233,94 ;2,20 ;150,70 ;11,17 ;54.923.324,77;;;0,00 ;0,00 ;0,00 ;0,00 ;0;1.398,88;113
HCRI11;Hospitalar;260,02;34.635,52;2,73;1,05 ;3,26 ;6,64 ;13,13 ;1,09 ;1,11 ;1,09 ;8,72 ;2,30 ;3,38 ;19,12 ;65.175.033,62;325,88;0,80;0,88 ;5,82 ;6,75 ;14,24 ;1;35,77;2.996
HCTR11;Papéis;22,75;626.034,39;0,30;1,30 ;4,10 ;8,85 ;20,98 ;1,37 ;1,48 ;1,75 ;14,89 ;-1,79 ;-0,52 ;10,70 ;2.294.931.610,71;103,92;0,22;0,36 ;-14,38 ;-14,07 ;1,31 ;14;38,05;139.141
HDEL11;Imóveis Industriais e Logísticos;100,01;16,67;14,03;0,00 ;0,00 ;0,00 ;11,84 ;0,00 ;0,00 ;1,69 ;0,00 ;0,00 ;0,00 ;;88.923.624,22;;;;;;;1;60,99;108
HFOF11;Fundo de Fundos;5,93;1.292.049,13;0,06;0,95 ;2,86 ;5,85 ;12,14 ;0,95 ;0,98 ;1,01 ;9,12 ;0,51 ;1,46 ;21,16 ;1.671.963.445,19;7,25;0,82;0,77 ;-91,04 ;-90,97 ;-90,59 ;14;14,97;74.872
HGAG11;Indefinido;13,32;813,50;0,12;0,79 ;9,42 ;11,36 ;18,82 ;3,14 ;1,89 ;1,57 ;14,04 ;2,84 ;3,65 ;50,55 ;5.821.473,54;23,45;0,57;4,73 ;0,00 ;0,00 ;0,00 ;0;129,43;1.107
HGBL11;Misto;8,39;60.044,35;0,07;0,85 ;2,69 ;5,28 ;13,04 ;0,90 ;0,88 ;1,09 ;8,33 ;-1,17 ;-0,33 ;-4,16 ;236.582.706,01;;;;;;;1;14,96;4.705
HGBS11;Shoppings;19,04;1.791.098,39;0,15;0,78 ;2,41 ;4,92 ;10,37 ;0,80 ;0,82 ;0,86 ;7,74 ;3,79 ;4,60 ;15,68 ;2.785.197.689,35;21,57;0,88;0,74 ;-90,28 ;-90,21 ;-89,16 ;16;14,47;131.856
HGCR11;Papéis;92,25;2.324.303,48;1,05;1,14 ;3,39 ;6,80 ;13,51 ;1,13 ;1,13 ;1,13 ;10,30 ;-1,62 ;-0,50 ;16,46 ;1.489.382.118,38;96,60;0,95;1,09 ;-4,32 ;-3,28 ;9,98 ;14;13,07;100.486
HGFF11;Fundo de Fundos;62,38;732.294,18;0,68;0,00 ;2,09 ;5,06 ;12,40 ;0,70 ;0,84 ;1,03 ;9,29 ;0,00 ;0,00 ;;229.350.190,00;80,09;0,78;0,85 ;-7,77 ;-6,99 ;-2,02 ;14;17,47;14.957
HGIC11;Papéis;69,49;5.971,52;0,80;1,17 ;3,50 ;6,65 ;14,07 ;1,17 ;1,11 ;1,17 ;9,24 ;-0,04 ;1,13 ;-9,04 ;51.143.143,36;110,53;0,63;0,72 ;-3,65 ;-2,96 ;15,38 ;2;56,03;612
HGLG11;Imóveis Industriais e Logísticos;156,36;6.237.258,26;1,10;0,71 ;2,13 ;4,28 ;8,83 ;0,71 ;0,71 ;0,74 ;6,55 ;1,20 ;1,92 ;15,82 ;5.490.675.367,94;162,51;0,96;0,68 ;5,51 ;6,22 ;23,14 ;28;12,30;508.517
HGPO11;Lajes Corporativas;136,70;138.967,61;57,05;48,22 ;0,00 ;0,00 ;49,77 ;0,00 ;0,00 ;4,15 ;62,51 ;5,05 ;55,71 ;101,25 ;248.774.137,59;155,61;0,88;36,66 ;-48,02 ;-28,96 ;-15,36 ;2;11,58;10.119
HGRE11;Lajes Corporativas;114,78;1.353.176,22;0,85;0,75 ;3,71 ;6,03 ;11,10 ;1,24 ;1,01 ;0,93 ;8,64 ;2,67 ;3,44 ;31,19 ;1.841.099.241,72;155,79;0,74;1,64 ;-0,70 ;0,92 ;1,24 ;13;21,01;141.680
HGRS11;Imóveis Residenciais;;;29,32;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;92,86;;0,00 ;0,00 ;0,00 ;0,00 ;14;;8.102
HGRU11;Misto;124,04;3.071.141,70;0,95;0,76 ;2,80 ;5,10 ;10,96 ;0,93 ;0,85 ;0,91 ;8,53 ;1,57 ;2,34 ;27,89 ;2.962.053.124,98;127,47;0,97;1,22 ;3,73 ;4,99 ;19,35 ;103;13,10;221.413
HILG11;Indefinido;184,96;186,67;1,44;0,00 ;0,00 ;2,19 ;5,83 ;0,00 ;0,37 ;0,49 ;3,51 ;0,00 ;0,00 ;;107.362.476,42;;;;;;;1;16,45;54
HLOG11;Imóveis Industriais e Logísticos;8,29;36.142,52;0,07;0,85 ;2,51 ;4,99 ;8,82 ;0,84 ;0,83 ;0,74 ;7,27 ;0,98 ;1,84 ;14,44 ;469.092.605,25;11,04;0,75;0,59 ;-90,52 ;-90,47 ;-89,43 ;3;12,66;3.787
HOFC11;Lajes Corporativas;28,85;478.890,17;0,21;0,65 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;2,01 ;75,72 ;76,86 ;67,59 ;215.218.081,63;;;;;;;3;47,99;5.097
