Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
KINP11;Fundo de Desenvolvimento;10,00;38.394,20;2,90;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;19,95 ;0,00 ;0,00 ;;118.155.565,38;;;0,00 ;-100,00 ;0,00 ;0,00 ;14;12,74;8.102
KISU11;Fundo de Fundos;6,74;404.312,77;0,07;1,02 ;3,09 ;6,15 ;12,42 ;1,03 ;1,03 ;1,04 ;10,42 ;1,94 ;2,98 ;15,66 ;350.704.593,33;7,94;0,85;0,88 ;-8,95 ;-8,14 ;-6,02 ;14;18,42;104.130
KIVO11;Papéis;62,17;303.928,23;1,10;1,72 ;4,26 ;9,15 ;18,45 ;1,42 ;1,53 ;1,54 ;15,67 ;0,44 ;2,17 ;18,55 ;190.049.906,67;;;;;;;14;24,95;6.837
KNCA11;Indefinido;93,10;2.005.223,91;1,15;1,21 ;3,62 ;7,34 ;14,85 ;1,21 ;1,22 ;1,24 ;12,54 ;1,10 ;2,32 ;28,73 ;2.213.495.853,74;102,48;0,91;1,22 ;0,29 ;1,51 ;12,95 ;0;20,32;78.449
KNCR11;Papéis;104,34;11.189.769,77;1,35;1,28 ;3,86 ;7,40 ;13,86 ;1,29 ;1,23 ;1,16 ;11,76 ;-0,38 ;0,90 ;25,02 ;7.782.226.582,36;101,72;1,03;1,33 ;0,96 ;2,30 ;15,80 ;14;9,86;431.998
KNHF11;Indefinido;93,07;2.326.435,09;1,00;1,05 ;3,25 ;6,56 ;13,46 ;1,08 ;1,09 ;1,12 ;11,18 ;3,82 ;4,91 ;37,47 ;1.959.198.829,51;;;;;;;3;17,87;48.532
KNHY11;Papéis;99,86;3.063.279,32;1,00;0,99 ;3,56 ;7,67 ;14,96 ;1,19 ;1,28 ;1,25 ;12,73 ;-0,97 ;0,01 ;25,27 ;2.968.728.347,76;98,44;1,01;1,32 ;0,71 ;2,04 ;15,26 ;14;11,33;25.818
KNIP11;Papéis;87,35;5.789.077,59;0,60;0,68 ;2,41 ;5,91 ;12,62 ;0,80 ;0,99 ;1,05 ;10,68 ;1,12 ;1,81 ;18,65 ;7.342.020.555,38;91,69;0,95;0,87 ;-2,31 ;-1,46 ;7,57 ;14;10,43;71.968
KNOX11;Indefinido;101,30;460.807,45;2,64;2,68 ;0,00 ;2,68 ;8,58 ;0,00 ;0,45 ;0,72 ;2,68 ;6,21 ;9,06 ;9,06 ;;;;;;;;0;24,43;0
KNPR11;Indefinido;;;3,30;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;54.524.052,24;;;;;;;14;;594
KNRE11;Fundo de Desenvolvimento;0,32;2.069,86;0,00;1,68 ;0,00 ;1,68 ;338,66 ;0,00 ;0,28 ;28,22 ;338,66 ;575,00 ;586,34 ;1.099,67 ;12.470.331,32;0,76;0,42;9,22 ;0,00 ;9,22 ;0,46 ;14;375,09;5.899
KNRI11;Misto;144,95;4.098.186,45;1,00;0,68 ;2,10 ;4,19 ;8,89 ;0,70 ;0,70 ;0,74 ;7,30 ;5,34 ;6,05 ;28,89 ;4.604.433.676,59;163,25;0,89;0,61 ;2,13 ;2,76 ;11,33 ;20;15,20;298.736
KNSC11;Papéis;8,66;3.234.611,18;0,10;1,14 ;3,30 ;6,81 ;13,64 ;1,10 ;1,14 ;1,14 ;11,60 ;-0,34 ;0,80 ;26,61 ;1.771.742.851,04;8,76;0,99;1,14 ;-90,06 ;-89,95 ;-88,89 ;14;15,20;225.562
KNUQ11;Indefinido;103,48;3.190.099,55;1,25;1,20 ;3,98 ;8,04 ;15,36 ;1,33 ;1,34 ;1,28 ;13,08 ;-0,69 ;0,50 ;28,78 ;2.178.060.075,20;;;;;;;14;11,13;36.055
KOPA11;Indefinido;814,64;283.070,41;40,00;4,75 ;10,02 ;15,51 ;27,98 ;3,34 ;2,59 ;2,33 ;31,77 ;-3,52 ;1,06 ;80,81 ;323.480.062,62;912,04;0,89;4,39 ;0,00 ;0,00 ;0,00 ;0;27,22;3.460
KORE11;Lajes Corporativas;69,09;1.859.918,18;1,25;1,72 ;5,24 ;9,78 ;20,01 ;1,75 ;1,63 ;1,67 ;16,68 ;3,25 ;5,03 ;18,77 ;1.019.216.225,82;;;;;;;4;24,90;25.550
KRES11;Misto;;;0,00;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;230.769.412,58;;;;;;;1;;131
LAFI11;Misto;118,24;19.473,60;4,94;4,30 ;0,00 ;4,30 ;12,22 ;0,00 ;4,30 ;12,22 ;12,22 ;-1,98 ;2,24 ;2,24 ;88.524.985,95;111,46;1,06;4,43 ;0,00 ;0,00 ;0,00 ;0;42,79;1.289
LASC11;Shoppings;99,90;932.136,73;0,75;0,76 ;2,54 ;13,74 ;17,80 ;0,85 ;2,29 ;1,48 ;17,07 ;7,02 ;7,83 ;27,58 ;400.404.927,19;136,18;0,73;0,68 ;27,32 ;28,18 ;28,73 ;2;63,67;448
LAVF11;Indefinido;;;1,30;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;;;;;;;14;;8.102
LFTT11;Papéis;2,10;598.719,00;0,21;0,00 ;47,98 ;86,12 ;80.801.912,63 ;15,99 ;14,35 ;6.733.492,72 ;187,89 ;0,00 ;0,00 ;;37.490.104,69;56,89;0,04;3,06 ;42,08 ;46,44 ;-48,40 ;51;412,33;786
LGCP11;Imóveis Industriais e Logísticos;82,95;163.106,04;0,80;1,13 ;3,17 ;5,76 ;10,78 ;1,06 ;0,96 ;0,90 ;10,78 ;-7,22 ;-6,17 ;-7,05 ;457.171.677,92;101,32;0,82;0,79 ;-1,43 ;-0,65 ;7,48 ;5;9,47;19.183
LIFE11;Imóveis Comerciais - Outros;8,21;523.447,18;0,12;1,42 ;4,18 ;8,41 ;17,83 ;1,39 ;1,40 ;1,49 ;14,67 ;-1,75 ;-0,35 ;15,95 ;371.603.202,50;;;;;;;14;27,26;18.117
LLAO11;Misto;57,20;57,00;7,31;11,32 ;0,00 ;0,00 ;13,43 ;0,00 ;0,00 ;1,92 ;11,32 ;-2,11 ;8,97 ;8,97 ;18.656.588,57;;;;;;;12;27,09;78
LOFT11B;Fundo de Desenvolvimento;29,90;;47,90;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;142,96 ;0,00 ;0,00 ;;1.868.910,51;;;;;;;2;;8
LPLP11;Indefinido;499,99;1.809,67;47,63;0,00 ;0,00 ;0,00 ;3,80 ;0,00 ;0,00 ;0,32 ;11,25 ;0,00 ;0,00 ;;177.968.810,10;;;;;;;14;51,47;16
LRDI11;Indefinido;95,00;88,00;5,95;0,00 ;0,00 ;13,52 ;13,52 ;0,00 ;13,52 ;13,52 ;13,52 ;0,00 ;0,00 ;;29.710.785,86;;;;;;;14;151,25;100
LSAG11;Indefinido;75,02;27.481,55;1,26;1,67 ;4,74 ;9,22 ;19,02 ;1,58 ;1,54 ;1,59 ;17,43 ;-0,76 ;0,89 ;36,84 ;99.394.037,87;98,47;0,76;1,22 ;0,00 ;0,00 ;0,00 ;0;20,38;2.780
LSOI11;Misto;12,26;;0,10;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;63.695.104,75;;;;;;;2;;18
LSPA11;Papéis;24,01;453,61;20,85;86,84 ;0,00 ;0,00 ;152,88 ;0,00 ;0,00 ;12,74 ;299,45 ;0,00 ;86,84 ;153,73 ;8.473.824,04;;;;;;;14;77,49;727
LTMT11;Imóveis Residenciais;98,42;42.025,00;8,38;8,80 ;0,00 ;0,00 ;8,80 ;0,00 ;0,00 ;8,80 ;8,80 ;0,00 ;0,00 ;;15.406.960,59;;;;;;;1;18,62;219
LUGG11;Imóveis Residenciais;72,82;23.956,00;0,59;0,88 ;2,59 ;5,08 ;9,23 ;0,86 ;0,85 ;0,77 ;9,23 ;-3,20 ;-2,35 ;-10,08 ;132.968.746,75;117,60;0,62;0,51 ;-7,97 ;-7,50 ;-0,34 ;5;10,07;7.962
LVBI11;Imóveis Industriais e Logísticos;107,61;2.597.488,18;0,75;0,69 ;2,16 ;4,40 ;9,68 ;0,72 ;0,73 ;0,81 ;7,90 ;5,56 ;6,29 ;29,53 ;1.896.641.167,82;117,67;0,91;0,64 ;1,88 ;2,53 ;7,79 ;10;18,54;129.635
MALL11;Shoppings;99,90;1.230.798,43;0,86;0,85 ;2,54 ;5,27 ;10,16 ;0,85 ;0,88 ;0,85 ;6,13 ;1,45 ;2,31 ;17,74 ;1.694.865.745,73;121,22;0,82;0,70 ;1,09 ;1,80 ;18,43 ;11;12,50;129.577
MANA11;Indefinido;8,70;801.298,91;0,11;1,22 ;3,76 ;7,63 ;16,04 ;1,25 ;1,27 ;1,34 ;13,25 ;3,46 ;4,72 ;36,40 ;347.871.660,06;;;;;;;14;14,74;28.825
MATV11;Indefinido;86,63;13.027,43;0,60;0,73 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;3,11 ;-1,41 ;-0,69 ;-1,08 ;118.155.565,38;91,09;0,95;0,66 ;-1,89 ;-1,24 ;-0,18 ;1;0,37;8.102
MAXR11;Varejo;64,55;17.640,41;0,45;0,71 ;2,07 ;3,59 ;31,76 ;0,69 ;0,60 ;2,65 ;5,24 ;0,80 ;1,51 ;13,57 ;115.430.795,08;102,86;0,63;0,50 ;-16,43 ;-16,01 ;-9,80 ;7;17,76;4.308
MBRF11;Lajes Corporativas;;;0,50;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;1.136,01;;0,88 ;-0,17 ;0,71 ;10,03 ;0;;0
MCCI11;Papéis;91,70;2.140.396,73;1,00;1,11 ;3,34 ;6,68 ;13,50 ;1,11 ;1,11 ;1,13 ;10,24 ;5,95 ;7,13 ;41,29 ;1.583.325.856,34;93,36;0,98;1,07 ;0,93 ;2,01 ;6,75 ;14;16,23;110.036
MCEM11;Shoppings;65,21;70.190,00;0,67;1,02 ;2,78 ;4,28 ;9,56 ;0,93 ;0,86 ;1,91 ;4,28 ;0,29 ;1,31 ;30,90 ;104.500.880,75;;;;;;;14;616,26;190
MCHF11;Papéis;9,10;1.778.820,09;2,59;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;1,51 ;0,00 ;0,00 ;;118.155.565,38;10,38;0,88;0,67 ;9,15 ;9,88 ;12,93 ;1;7,84;8.102
MCHY11;Papéis;8,58;4.789.731,61;0,10;1,39 ;3,81 ;7,19 ;13,89 ;1,27 ;1,20 ;1,16 ;13,89 ;-12,22 ;-11,00 ;-21,94 ;1.060.212.799,64;9,50;0,90;1,05 ;-90,53 ;-90,43 ;-89,35 ;1;26,95;93.666
MCLO11;Imóveis Industriais e Logísticos;10,20;792.114,13;0,09;0,93 ;1,68 ;3,62 ;3,62 ;0,56 ;0,60 ;0,60 ;3,62 ;-2,76 ;-1,86 ;-0,90 ;1.714.340.780,46;;;;;;;5;29,07;205
MCRE11;Papéis;8,82;1.848.877,82;0,11;1,25 ;3,85 ;7,80 ;16,42 ;1,28 ;1,30 ;1,37 ;12,14 ;3,65 ;4,95 ;55,36 ;1.133.916.111,87;;;;;;;1;21,40;81.899
MFAI11;Fundo de Fundos;69,98;11.326,82;34,18;48,84 ;0,00 ;0,00 ;48,84 ;0,00 ;0,00 ;4,07 ;56,24 ;2,66 ;52,79 ;89,75 ;27.463.042,22;;;0,00 ;-100,00 ;0,00 ;0,00 ;14;7,99;2.301
MFII11;Fundo de Desenvolvimento;77,32;798.021,77;1,07;1,33 ;3,97 ;8,05 ;16,56 ;1,32 ;1,34 ;1,38 ;13,82 ;0,29 ;1,62 ;10,19 ;618.668.337,07;103,76;0,75;1,02 ;-1,86 ;-0,86 ;9,61 ;1;22,06;32.711
MGCR11;Papéis;9,40;259.145,59;0,33;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;8,00 ;0,00 ;0,00 ;;118.155.565,38;9,78;0,96;1,02 ;-89,08 ;-88,97 ;-88,55 ;14;14,56;8.102
MGFF11;Fundo de Fundos;69,99;2.558.695,75;4,26;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;73,54;0,95;0,71 ;2,57 ;3,29 ;-0,09 ;14;8,07;8.102
MGHT11;Hotéis;17,00;17.421,41;0,13;0,42 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;7,24 ;-14,42 ;-14,07 ;-21,90 ;31.268.518,46;50,81;0,33;0,26 ;-40,63 ;-40,48 ;-43,69 ;1;52,59;4.167
MGLG11;Imóveis Industriais e Logísticos;40,99;55.314,19;0,35;0,86 ;2,58 ;4,56 ;11,69 ;0,86 ;0,76 ;0,97 ;0,86 ;-3,60 ;-2,77 ;-2,77 ;116.088.485,68;61,55;0,67;0,57 ;57,54 ;58,43 ;-18,62 ;2;27,79;3.712
MGRI11;Indefinido;58,18;;1,49;0,00 ;0,00 ;5,58 ;19,66 ;0,00 ;0,93 ;1,64 ;12,42 ;0,00 ;0,00 ;;17.780.340,81;;;;;;;1;4,46;1
MINT11;Educacional;96,50;2.171,20;14,67;15,20 ;0,00 ;0,00 ;15,20 ;0,00 ;0,00 ;7,60 ;19,77 ;-5,85 ;8,46 ;14,95 ;50.527.673,91;;;;;;;3;14,39;94
MMPD11;Indefinido;;;1,44;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;59.508.153,90;;;;;;;14;;102
MORE11;Fundo de Fundos;76,21;1.327.577,67;6,02;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;86,87;0,88;0,81 ;4,88 ;5,72 ;2,91 ;14;2,67;8.102
MXRF11;Papéis;9,69;8.783.228,64;0,10;1,02 ;3,11 ;6,38 ;12,88 ;1,04 ;1,06 ;1,07 ;10,68 ;1,56 ;2,60 ;27,23 ;4.154.120.032,52;9,50;1,02;1,05 ;-6,03 ;-5,04 ;0,50 ;3;12,20;1.325.308
NAVT11;Papéis;71,22;23.027,91;0,75;1,08 ;3,53 ;6,66 ;14,08 ;1,18 ;1,11 ;1,17 ;10,29 ;-0,57 ;0,50 ;33,69 ;52.378.812,55;85,55;0,83;0,88 ;-4,50 ;-3,66 ;-2,56 ;14;33,92;2.557
NCHB11;Papéis;7,97;63.111,70;0,11;1,34 ;4,06 ;7,73 ;15,13 ;1,35 ;1,29 ;1,26 ;4,06 ;11,10 ;12,58 ;10,18 ;148.979.591,77;9,75;0,82;1,02 ;-89,12 ;-89,01 ;-88,60 ;14;17,09;11.451
NCRI11;Papéis;8,93;2.189,68;0,10;1,20 ;3,67 ;7,63 ;15,58 ;1,22 ;1,27 ;1,30 ;11,72 ;0,00 ;1,20 ;28,18 ;39.369.320,92;;;;;;;1;38,95;1.203
NELO11;Logística;;;36,47;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;451.528.275,60;1.029,24;;2,47 ;0,00 ;0,00 ;0,00 ;57;;2
NEWL11;Imóveis Industriais e Logísticos;103,50;246.833,09;0,95;0,90 ;2,73 ;5,56 ;11,79 ;0,91 ;0,93 ;0,98 ;9,80 ;0,94 ;1,85 ;20,10 ;365.027.569,88;129,89;0,80;0,73 ;8,16 ;8,95 ;24,34 ;3;15,20;9.870
NEWU11;Lajes Corporativas;97,00;2.412,07;0,20;0,21 ;0,67 ;0,93 ;1,53 ;0,67 ;0,93 ;0,13 ;1,35 ;1,04 ;1,25 ;25,67 ;62.338.346,02;84,01;1,15;0,24 ;20,69 ;20,97 ;29,64 ;3;49,23;1.101
NEXG11;Agricultura;133,00;101.512,43;1,00;0,75 ;2,27 ;4,55 ;9,48 ;0,76 ;0,76 ;0,79 ;6,73 ;0,90 ;1,65 ;21,53 ;70.230.317,61;100,54;1,32;0,97 ;0,00 ;0,00 ;0,00 ;0;28,17;636
NSLU11;Hospitalar;204,00;303.525,86;1,62;0,79 ;2,69 ;5,69 ;12,21 ;0,90 ;0,95 ;1,02 ;10,11 ;15,75 ;16,67 ;56,11 ;271.974.851,84;210,30;0,97;0,79 ;5,72 ;6,55 ;13,06 ;1;24,13;5.340
NUIF11;Indefinido;93,85;57.942,00;1,20;1,34 ;0,00 ;3,97 ;11,33 ;0,00 ;0,66 ;0,94 ;7,74 ;5,15 ;6,56 ;14,64 ;;;;;;;;0;30,40;0
NVHO11;Hospitalar;12,72;1.646,65;0,09;0,72 ;2,13 ;4,35 ;8,88 ;0,71 ;0,73 ;0,74 ;7,35 ;-2,34 ;-1,64 ;8,22 ;689.752.069,73;16,62;0,77;0,52 ;19,14 ;19,76 ;40,13 ;4;62,78;1.810
NVIF11B;Fundo de Desenvolvimento;227,50;;1,11;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;88.829.544,94;263,28;0,86;0,42 ;-15,74 ;-15,38 ;5,40 ;2;;7
NVRP11;Indefinido;150,00;5.250,00;64,73;107,40 ;0,00 ;0,00 ;107,40 ;0,00 ;0,00 ;107,40 ;107,40 ;0,00 ;0,00 ;;;;;;;;;0;328,62;0
OBAL11;Imóveis Residenciais;1.095,00;1.095,00;81,96;0,00 ;0,00 ;0,00 ;7,34 ;0,00 ;0,00 ;3,67 ;7,34 ;0,00 ;0,00 ;;183.832.807,05;;;;;;;4;18,13;104
OCRE11;Papéis;90,00;7.712,63;0,68;0,72 ;2,16 ;4,75 ;9,35 ;0,72 ;0,79 ;0,78 ;7,56 ;-3,39 ;-2,69 ;15,33 ;36.780.525,58;;;;;;;1;78,72;468
OGHY11;Indefinido;8,72;22.847,10;9,40;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,99 ;0,00 ;0,00 ;;118.155.565,38;;;;;;;14;57,14;8.102
OGIN11;Misto;8,23;90.469,32;0,08;0,99 ;0,99 ;2,52 ;7,38 ;0,99 ;0,42 ;0,62 ;4,60 ;0,50 ;1,49 ;-10,43 ;;;;;;;;0;22,20;0
OIAG11;Indefinido;8,56;103.458,59;0,12;1,43 ;4,30 ;8,70 ;17,66 ;1,43 ;1,45 ;1,47 ;13,21 ;4,82 ;6,32 ;39,91 ;88.536.763,62;9,80;0,87;1,12 ;0,00 ;0,00 ;0,00 ;0;17,03;12.516
ONDV11;Exploração de Imóveis;10,01;3.087,00;0,13;1,25 ;2,52 ;2,52 ;2,52 ;0,84 ;0,42 ;0,36 ;2,52 ;1,66 ;2,93 ;2,93 ;12.065.662,11;;;;;;;14;52,10;299
ONEF11;Lajes Corporativas;200,03;114.431,47;2,85;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;182,79;1,09;17,78 ;-9,26 ;6,88 ;30,26 ;14;9,40;8.102
OPTM11;Misto;;;0,14;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;4.473.691,89;;;;;;;1;;14
ORPD11;Fundo de Desenvolvimento;93,00;402,75;1,38;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;41.018.624,14;124,68;0,75;1,11 ;0,95 ;2,06 ;2,06 ;14;24,80;6
OUFF11;Fundo de Fundos;61,10;264.340,11;0,76;1,25 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;7,10 ;-1,44 ;-0,20 ;-4,01 ;118.155.565,38;78,55;0,78;0,96 ;3,49 ;4,49 ;11,00 ;1;0,13;8.102
OUJP11;Papéis;75,27;277.177,86;1,20;1,58 ;4,15 ;8,70 ;17,36 ;1,38 ;1,45 ;1,45 ;14,74 ;-2,59 ;-1,05 ;27,91 ;326.486.265,62;100,38;0,75;1,00 ;0,49 ;1,49 ;16,64 ;14;17,19;26.298
OULG11;Imóveis Industriais e Logísticos;38,99;134.714,45;0,02;0,05 ;0,69 ;0,69 ;3,02 ;0,69 ;0,69 ;0,25 ;3,02 ;0,26 ;0,31 ;24,24 ;153.019.907,85;61,67;0,63;0,03 ;-7,83 ;-7,80 ;-14,65 ;2;25,60;3.385
OURE11;Misto;78,20;224.923,68;1,09;1,39 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;8,68 ;3,84 ;5,28 ;19,42 ;118.155.565,38;100,43;0,78;1,08 ;10,33 ;11,52 ;23,93 ;1;6,17;8.102
PABY11;Fundo de Desenvolvimento;10,43;92,80;0,13;;;;;;;;;;;;-23.711.416,83;251,42;0,04;0,00 ;1,74 ;1,74 ;5,49 ;15;47,20;502
PATA11;Misto;10,29;9.618,45;0,10;0,99 ;3,02 ;6,00 ;12,52 ;1,01 ;1,00 ;1,04 ;10,65 ;-1,91 ;-0,94 ;8,95 ;17.090.510,25;;;;;;;14;83,39;258
PATB11;Lajes Corporativas;;;3,69;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;854.748.837,46;;;;;;;3;;1
PATC11;Fundo de Desenvolvimento;39,29;51.391,59;0,05;0,13 ;0,39 ;1,39 ;4,01 ;0,39 ;0,23 ;0,33 ;3,11 ;1,28 ;1,41 ;19,52 ;143.195.272,92;41,18;0,95;0,12 ;-46,09 ;-46,03 ;-48,47 ;4;12,24;5.160
PATL11;Imóveis Industriais e Logísticos;59,83;371.340,18;0,57;0,95 ;2,92 ;6,68 ;14,56 ;0,97 ;1,11 ;1,21 ;11,98 ;1,01 ;1,97 ;60,96 ;481.534.117,15;96,47;0,62;0,59 ;-1,68 ;-1,10 ;6,31 ;4;24,59;25.627
PCAS11;Indefinido;;;428,57;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;269.535.947,33;;;;;;;4;;100
PEMA11;Papéis;31,56;913,75;0,41;1,31 ;4,11 ;9,53 ;21,62 ;1,37 ;1,59 ;1,80 ;16,71 ;-19,08 ;-18,02 ;2,57 ;33.523.574,59;;;;;;;14;143,35;293
PFIN11;Indefinido;78,80;1.441.025,77;0,75;0,99 ;1,97 ;1,97 ;4,01 ;0,66 ;0,33 ;0,33 ;1,97 ;-1,14 ;-0,16 ;21,29 ;;;;;;;;0;18,32;0
PICE11;Indefinido;32,95;48.517,14;0,50;1,35 ;1,35 ;1,35 ;2,51 ;0,45 ;0,23 ;0,21 ;2,51 ;7,50 ;8,95 ;1,37 ;;;;;;;;0;42,66;0
PLAG11;Indefinido;50,68;109.792,55;0,48;0,94 ;2,96 ;5,90 ;12,55 ;0,99 ;0,98 ;1,05 ;10,40 ;3,03 ;4,00 ;37,92 ;336.008.103,84;;;;;;;12;9,80;15.616
PLCA11;Indefinido;70,35;52.125,77;1,00;1,41 ;4,24 ;7,45 ;16,60 ;1,41 ;1,24 ;1,38 ;13,74 ;-0,14 ;1,27 ;29,65 ;53.328.217,93;95,74;0,73;1,04 ;0,00 ;0,00 ;0,00 ;0;16,91;2.515
PLCR11;Papéis;78,20;864.020,00;5,23;0,00 ;0,00 ;3,48 ;10,63 ;0,00 ;0,58 ;0,89 ;8,48 ;0,00 ;0,00 ;;175.914.246,15;83,40;0,94;1,08 ;-8,04 ;-7,05 ;2,32 ;1;21,71;14.034
PLOG11;Imóveis Industriais e Logísticos;66,71;70.165,04;0,70;0,99 ;3,05 ;6,10 ;12,13 ;1,02 ;1,02 ;1,01 ;4,09 ;2,01 ;3,02 ;0,55 ;79.648.071,76;100,39;0,66;0,75 ;-0,02 ;0,72 ;8,77 ;1;16,63;3.284
PLRI11;Papéis;9,89;1.220,95;0,11;0,88 ;0,88 ;0,88 ;34,57 ;0,88 ;0,88 ;2,88 ;34,57 ;-20,67 ;-19,97 ;32,02 ;14.020.160,49;14,69;0,67;0,75 ;-54,32 ;-53,98 ;-60,85 ;1;136,64;859
PMFO11;Misto;88,16;83,50;0,84;0,00 ;0,00 ;1,95 ;7,66 ;0,00 ;0,33 ;0,64 ;4,87 ;0,00 ;0,00 ;;84.552.233,16;;;;;;;14;22,46;194
PMIS11;Misto;8,01;169.387,27;0,09;1,14 ;3,50 ;7,24 ;14,85 ;1,17 ;1,21 ;1,24 ;12,31 ;4,94 ;6,13 ;20,95 ;137.549.011,72;;;;;;;14;25,39;6.991
PMLL11;Shoppings;99,95;1.866.231,00;0,86;0,84 ;2,59 ;5,13 ;10,39 ;0,86 ;0,86 ;0,87 ;8,72 ;1,63 ;2,48 ;21,28 ;1.697.439.457,50;;;;;;;11;12,56;126.824
PNCR11;Imóveis Residenciais;46,76;350.700,00;1,56;0,00 ;0,00 ;0,00 ;3,15 ;0,00 ;0,00 ;0,26 ;12,84 ;0,00 ;0,00 ;;23.711.020,40;;;;;;;14;54,73;113
PNDL11;Fundo de Desenvolvimento;999,99;3.978.495,00;3,00;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;153.115.078,56;;;;;;;14;9,89;55
PNPR11;Fundo de Desenvolvimento;48,00;4.000.032,00;19,05;25,23 ;0,00 ;0,00 ;25,23 ;0,00 ;0,00 ;8,41 ;25,23 ;0,00 ;0,00 ;;32.747.884,33;;;;;;;1;63,11;16
PNRC11;Indefinido;59,34;60,00;0,18;0,00 ;1,11 ;1,11 ;27,05 ;0,37 ;0,19 ;2,25 ;2,81 ;0,00 ;0,00 ;;17.188.668,21;;;;;;;14;58,42;105
PORD11;Papéis;7,98;536.502,00;0,10;1,24 ;3,55 ;6,96 ;14,28 ;1,18 ;1,16 ;1,19 ;11,78 ;1,64 ;2,90 ;25,89 ;356.340.504,57;9,56;0,83;0,96 ;-90,25 ;-90,16 ;-89,10 ;1;17,43;45.867
PPEI11;Indefinido;89,05;265.998,14;4,25;5,00 ;0,00 ;5,00 ;10,34 ;0,00 ;0,83 ;1,48 ;5,00 ;13,57 ;19,25 ;19,25 ;;;;;;;;0;31,78;0
PQAG11;Imóveis Industriais e Logísticos;55,39;948,29;0,47;0,82 ;2,51 ;5,15 ;10,35 ;0,84 ;0,86 ;0,86 ;8,63 ;1,77 ;2,60 ;15,76 ;774.283.312,39;55,34;1,00;0,85 ;-3,35 ;-2,53 ;7,07 ;1;42,34;464
PQDP11;Shoppings;2.342,25;246.805,32;18,42;0,77 ;2,11 ;5,14 ;10,92 ;0,70 ;0,86 ;0,91 ;9,04 ;-0,83 ;-0,07 ;40,33 ;337.127.877,73;3.352,47;0,70;0,55 ;6,98 ;7,57 ;3,99 ;1;22,26;3.297
PRIF11;Indefinido;99,00;33.631,65;1,00;0,00 ;0,00 ;2,00 ;2,95 ;0,00 ;0,67 ;0,98 ;2,95 ;0,00 ;0,00 ;;;;;;;;;0;92,72;0
